province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,8740.8,3629.4,5111.4,2524.6,39204.0,23442.0,15762.0,,False
北京,Beijing,15.2,0.0,15.2,3.4,95.3,5.1,90.2,,False
天津,Tianjin,57.7,17.0,40.7,10.1,220.6,121.7,98.9,,False
河北,Hebei,934.0,335.3,598.7,506.2,3855.3,1994.1,1861.2,,False
山西,Shanxi,238.0,155.2,82.8,76.0,1695.7,1257.0,438.7,,False
山东,Shandong,926.0,174.6,751.4,426.5,4269.9,1249.7,3020.2,,False
内蒙古,Inner Mongolia,144.4,125.0,19.4,6.2,1550.8,1429.6,121.2,,False
辽宁,Liaoning,161.8,102.5,59.2,23.0,600.6,381.3,219.3,,False
吉林,Jilin,40.8,28.8,11.9,2.4,386.6,294.6,92.0,,False
黑龙江,Heilongjiang,56.2,37.2,19.0,3.9,475.3,366.9,108.4,,False
上海,Shanghai,26.5,0.0,26.5,1.3,194.8,24.0,170.9,,False
江苏,Jiangsu,592.5,12.2,580.3,151.4,2508.5,953.3,1555.2,,False
浙江,Zhejiang,697.2,36.4,660.8,11.2,2539.0,613.4,1925.5,,False
安徽,Anhui,447.2,114.8,332.3,251.0,2154.0,1063.8,1090.3,,False
福建,Fujian,187.9,0.0,187.9,79.8,464.9,39.2,425.8,,False
江西,Jiangxi,310.6,163.1,147.5,96.6,1201.9,695.1,506.7,,False
河南,Henan,777.5,3.0,774.5,691.3,2333.0,628.8,1704.2,,False
湖北,Hubei,394.4,293.9,100.5,33.1,1315.7,975.6,340.1,,False
湖南,Hunan,183.8,65.0,118.8,66.5,635.9,286.1,349.8,,False
重庆,Chongqing,7.0,2.0,5.0,0.8,69.3,54.2,15.1,,False
四川,Sichuan,13.6,7.3,6.3,2.4,206.2,173.0,33.2,,False
陕西,Shaanxi,213.4,101.8,111.6,28.9,1516.2,1193.7,322.5,,False
甘肃,Gansu,271.6,263.3,8.4,1.0,1396.4,1310.9,85.5,,False
青海,Qinghai,222.4,219.6,2.7,0.1,1821.1,1805.5,15.7,,False
宁夏,Ningxia,199.8,172.4,27.4,0.3,1583.7,1491.6,92.2,,False
新疆,Xinjiang,197.8,188.0,9.7,0.6,1467.2,1440.3,26.9,,False
新疆兵团,Xinjiang Production and Construction Corps,0.0,0.0,0.0,0.0,105.8,105.8,0.0,,False
西藏,Tibet,40.6,40.6,0.0,0.0,178.1,175.9,2.2,,False
广东,Guangdong,570.2,232.0,338.2,42.1,1590.2,753.4,836.8,,False
广西,Guangxi,208.3,177.8,30.5,2.2,520.4,437.3,83.0,,False
海南,Hainan,101.9,75.3,26.7,3.7,245.8,199.7,46.1,,False
贵州,Guizhou,283.4,279.1,4.3,0.4,1420.3,1396.6,23.7,,False
云南,Yunnan,219.2,206.2,13.0,2.3,585.3,525.2,60.1,,False
