province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,3365.6,1552.5,1813.0,891.9,42522.2,24889.8,17632.4,,False
北京,Beijing,3.3,0.0,3.3,0.6,98.6,5.1,93.5,,False
天津,Tianjin,17.0,0.4,16.5,5.8,237.6,122.2,115.4,,False
河北,Hebei,156.2,44.7,111.5,59.9,4011.5,2038.8,1972.7,,False
山西,Shanxi,96.1,64.5,31.6,28.6,1791.8,1321.6,470.3,,False
山东,Shandong,281.0,49.9,231.2,122.3,4550.9,1234.0,3317.0,,False
内蒙古,Inner Mongolia,162.3,152.1,10.1,2.9,1714.2,1581.3,132.9,,False
辽宁,Liaoning,78.8,42.0,36.8,16.3,679.4,423.3,256.1,,False
吉林,Jilin,14.9,9.0,5.9,1.0,402.0,304.1,97.9,,False
黑龙江,Heilongjiang,7.1,0.0,7.1,1.2,482.3,366.9,115.4,,False
上海,Shanghai,17.5,0.4,17.1,0.4,212.0,24.0,188.0,,False
江苏,Jiangsu,256.8,35.7,221.1,78.1,2765.2,988.9,1776.3,,False
浙江,Zhejiang,146.2,12.9,133.3,2.9,2685.1,626.3,2058.8,,False
安徽,Anhui,233.9,29.0,204.8,103.1,2388.8,1093.7,1295.1,,False
福建,Fujian,90.0,0.0,90.0,33.1,554.9,39.2,515.8,,False
江西,Jiangxi,160.0,55.9,104.1,66.4,1362.5,751.6,610.8,,False
河南,Henan,329.3,10.0,319.3,275.6,2662.4,638.8,2023.6,,False
湖北,Hubei,284.0,227.7,56.3,24.8,1598.3,1201.8,396.4,,False
湖南,Hunan,83.8,9.5,74.2,47.3,719.7,295.6,424.1,,False
重庆,Chongqing,12.8,0.0,12.8,0.2,82.1,54.2,27.9,,False
四川,Sichuan,31.8,29.4,2.3,0.5,237.9,202.4,35.5,,False
陕西,Shaanxi,148.2,143.5,4.7,4.7,1662.4,1335.2,327.2,,False
甘肃,Gansu,50.4,49.4,1.0,0.3,1446.7,1360.2,86.5,,False
青海,Qinghai,80.6,80.6,0.0,0.0,1901.7,1886.1,15.7,,False
宁夏,Ningxia,110.5,96.7,13.8,0.1,1671.7,1565.8,106.0,,False
新疆,Xinjiang,90.0,90.0,0.0,0.0,1577.6,1560.1,17.5,,False
新疆兵团,Xinjiang Production and Construction Corps,0.0,0.0,0.0,0.0,105.8,105.8,0.0,,False
西藏,Tibet,56.6,56.6,0.0,0.0,190.7,188.5,2.2,,False
广东,Guangdong,161.5,82.5,79.0,12.6,1751.8,835.9,915.8,,False
广西,Guangxi,35.7,32.8,2.9,0.7,556.0,470.1,85.9,,False
海南,Hainan,34.0,21.7,12.3,1.8,279.7,221.3,58.4,,False
贵州,Guizhou,20.0,20.0,0.0,0.0,1440.3,1416.6,23.7,,False
云南,Yunnan,115.4,105.5,9.9,0.8,700.8,630.7,70.1,,False
