province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,23952.8,11159.4,12793.4,3443.8,112488.9,61689.3,50799.6,19259.3,False
北京,Beijing,62.2,1.6,60.6,20.6,192.5,8.1,184.4,60.4,False
天津,Tianjin,263.4,103.9,159.5,24.5,987.6,455.1,532.4,69.7,False
河北,Hebei,1027.6,487.3,540.3,222.8,8152.1,4703.1,3449.1,2275.0,False
山西,Shanxi,1357.3,844.1,513.2,164.2,4834.6,3345.5,1489.1,744.4,False
内蒙古,Inner Mongolia,279.8,123.7,156.1,44.4,5090.7,4633.2,457.5,175.2,False
辽宁,Liaoning,297.7,67.0,230.7,57.9,1511.6,609.1,902.5,431.0,False
吉林,Jilin,118.2,49.3,68.9,48.8,701.2,431.3,269.9,156.2,False
黑龙江,Heilongjiang,146.5,30.2,116.3,54.3,863.5,500.5,363.0,143.9,False
上海,Shanghai,159.9,14.5,145.5,12.7,571.4,54.3,517.1,35.6,False
江苏,Jiangsu,2446.8,856.2,1590.6,406.2,8611.5,2451.3,6160.2,2120.3,False
浙江,Zhejiang,1378.1,191.6,1186.4,143.7,6105.6,1025.6,5080.0,595.8,False
安徽,Anhui,1126.9,149.4,977.5,271.6,5438.1,1591.3,3846.8,1778.5,False
福建,Fujian,375.3,30.6,344.7,82.3,1633.6,107.1,1526.5,591.8,False
江西,Jiangxi,241.9,22.6,219.4,92.5,2810.8,1400.9,1409.9,766.9,False
山东,Shandong,1559.3,601.9,957.4,147.2,9172.8,3194.8,5978.0,2908.3,False
河南,Henan,908.5,47.5,861.0,369.7,5257.6,677.5,4580.1,2675.9,False
湖北,Hubei,852.6,75.1,777.5,93.7,4362.5,2222.9,2139.6,413.0,False
湖南,Hunan,774.2,193.7,580.5,259.8,2617.1,649.2,1967.9,1160.8,False
广东,Guangdong,1773.6,490.2,1283.3,342.1,5889.0,1577.8,4311.2,710.8,False
广西,Guangxi,829.5,413.4,416.2,19.0,2958.3,1332.0,1626.3,57.2,False
海南,Hainan,215.5,129.4,86.1,4.4,947.8,595.2,352.6,29.0,False
重庆,Chongqing,228.6,38.8,189.8,31.5,538.4,145.1,393.2,37.8,False
四川,Sichuan,556.4,178.2,378.2,99.1,1638.7,1067.5,571.3,123.0,False
贵州,Guizhou,782.7,624.2,158.5,93.3,2768.3,2500.4,268.0,145.7,False
云南,Yunnan,1477.6,1288.4,189.2,125.8,5200.6,4721.5,479.2,334.6,False
西藏,Tibet,125.1,125.1,0.0,0.0,538.9,533.5,5.4,0.0,False
陕西,Shaanxi,617.6,209.4,408.2,168.8,4050.8,2733.4,1317.3,601.8,False
甘肃,Gansu,509.3,415.2,94.1,21.0,3648.1,3370.1,278.0,66.5,False
青海,Qinghai,226.6,217.4,9.2,1.3,3868.7,3821.7,47.0,6.6,False
宁夏,Ningxia,906.4,824.0,82.4,18.9,3530.4,3273.3,257.1,35.9,False
新疆,Xinjiang,2327.7,2315.4,12.2,1.6,7996.0,7957.0,39.0,7.8,False
