period,year,checkpoint,area_key,province_cn,province_en,category,scraped_10kw,scraped_gw,source_page_url,source_file,reference_area,reference_gw,diff_gw,diff_10kw,abs_diff_gw,comparison_status
201612,,,Anhui,,,Total,,,,,Anhui,3.45,,,,missing_scraped
201612,,,Anhui,,,Total distributed,,,,,Anhui,0.78,,,,missing_scraped
201612,,,Anhui,,,Utility-scale,,,,,Anhui,2.67,,,,missing_scraped
201612,,,Beijing,,,Total,,,,,Beijing,0.24,,,,missing_scraped
201612,,,Beijing,,,Total distributed,,,,,Beijing,0.19,,,,missing_scraped
201612,,,Beijing,,,Utility-scale,,,,,Beijing,0.05,,,,missing_scraped
201612,,,Chongqing,,,Total,,,,,Chongqing,0.01,,,,missing_scraped
201612,,,Chongqing,,,Total distributed,,,,,Chongqing,0.01,,,,missing_scraped
201612,,,Chongqing,,,Utility-scale,,,,,Chongqing,0.0,,,,missing_scraped
201612,,,Fujian,,,Total,,,,,Fujian,0.27,,,,missing_scraped
201612,,,Fujian,,,Total distributed,,,,,Fujian,0.16,,,,missing_scraped
201612,,,Fujian,,,Utility-scale,,,,,Fujian,0.11,,,,missing_scraped
201612,,,Gansu,,,Total,,,,,Gansu,6.86,,,,missing_scraped
201612,,,Gansu,,,Total distributed,,,,,Gansu,0.07,,,,missing_scraped
201612,,,Gansu,,,Utility-scale,,,,,Gansu,6.79,,,,missing_scraped
201612,,,Guangdong,,,Total,,,,,Guangdong,1.56,,,,missing_scraped
201612,,,Guangdong,,,Total distributed,,,,,Guangdong,0.88,,,,missing_scraped
201612,,,Guangdong,,,Utility-scale,,,,,Guangdong,0.68,,,,missing_scraped
201612,,,Guangxi,,,Total,,,,,Guangxi,0.18,,,,missing_scraped
201612,,,Guangxi,,,Total distributed,,,,,Guangxi,0.09,,,,missing_scraped
201612,,,Guangxi,,,Utility-scale,,,,,Guangxi,0.09,,,,missing_scraped
201612,,,Guizhou,,,Total,,,,,Guizhou,0.46,,,,missing_scraped
201612,,,Guizhou,,,Total distributed,,,,,Guizhou,0.0,,,,missing_scraped
201612,,,Guizhou,,,Utility-scale,,,,,Guizhou,0.46,,,,missing_scraped
201612,,,Hainan,,,Total,,,,,Hainan,0.34,,,,missing_scraped
201612,,,Hainan,,,Total distributed,,,,,Hainan,0.09,,,,missing_scraped
201612,,,Hainan,,,Utility-scale,,,,,Hainan,0.25,,,,missing_scraped
201612,,,Hebei,,,Total,,,,,Hebei,4.43,,,,missing_scraped
201612,,,Hebei,,,Total distributed,,,,,Hebei,0.39,,,,missing_scraped
201612,,,Hebei,,,Utility-scale,,,,,Hebei,4.04,,,,missing_scraped
201612,,,Heilongjiang,,,Total,,,,,Heilongjiang,0.16,,,,missing_scraped
201612,,,Heilongjiang,,,Total distributed,,,,,Heilongjiang,0.05,,,,missing_scraped
201612,,,Heilongjiang,,,Utility-scale,,,,,Heilongjiang,0.11,,,,missing_scraped
201612,,,Henan,,,Total,,,,,Henan,2.85,,,,missing_scraped
201612,,,Henan,,,Total distributed,,,,,Henan,0.37,,,,missing_scraped
201612,,,Henan,,,Utility-scale,,,,,Henan,2.48,,,,missing_scraped
201612,,,Hubei,,,Total,,,,,Hubei,1.87,,,,missing_scraped
201612,,,Hubei,,,Total distributed,,,,,Hubei,0.2,,,,missing_scraped
201612,,,Hubei,,,Utility-scale,,,,,Hubei,1.67,,,,missing_scraped
201612,,,Hunan,,,Total,,,,,Hunan,0.29,,,,missing_scraped
201612,,,Hunan,,,Total distributed,,,,,Hunan,0.29,,,,missing_scraped
201612,,,Hunan,,,Utility-scale,,,,,Hunan,0.0,,,,missing_scraped
201612,,,Inner Mongolia,,,Total,,,,,Inner Mongolia,6.36,,,,missing_scraped
201612,,,Inner Mongolia,,,Total distributed,,,,,Inner Mongolia,0.0,,,,missing_scraped
201612,,,Inner Mongolia,,,Utility-scale,,,,,Inner Mongolia,6.36,,,,missing_scraped
201612,,,Jiangsu,,,Total,,,,,Jiangsu,5.45,,,,missing_scraped
201612,,,Jiangsu,,,Total distributed,,,,,Jiangsu,1.72,,,,missing_scraped
201612,,,Jiangsu,,,Utility-scale,,,,,Jiangsu,3.73,,,,missing_scraped
201612,,,Jiangxi,,,Total,,,,,Jiangxi,2.28,,,,missing_scraped
201612,,,Jiangxi,,,Total distributed,,,,,Jiangxi,0.56,,,,missing_scraped
201612,,,Jiangxi,,,Utility-scale,,,,,Jiangxi,1.72,,,,missing_scraped
201612,,,Jilin,,,Total,,,,,Jilin,0.56,,,,missing_scraped
201612,,,Jilin,,,Total distributed,,,,,Jilin,0.05,,,,missing_scraped
201612,,,Jilin,,,Utility-scale,,,,,Jilin,0.51,,,,missing_scraped
201612,,,Liaoning,,,Total,,,,,Liaoning,0.52,,,,missing_scraped
201612,,,Liaoning,,,Total distributed,,,,,Liaoning,0.16,,,,missing_scraped
201612,,,Liaoning,,,Utility-scale,,,,,Liaoning,0.36,,,,missing_scraped
201612,,,Ningxia,,,Total,,,,,Ningxia,5.26,,,,missing_scraped
201612,,,Ningxia,,,Total distributed,,,,,Ningxia,0.21,,,,missing_scraped
201612,,,Ningxia,,,Utility-scale,,,,,Ningxia,5.05,,,,missing_scraped
201612,,,Qinghai,,,Total,,,,,Qinghai,6.82,,,,missing_scraped
201612,,,Qinghai,,,Total distributed,,,,,Qinghai,0.0,,,,missing_scraped
201612,,,Qinghai,,,Utility-scale,,,,,Qinghai,6.82,,,,missing_scraped
201612,,,Shaanxi,,,Total,,,,,Shaanxi,3.34,,,,missing_scraped
201612,,,Shaanxi,,,Total distributed,,,,,Shaanxi,0.12,,,,missing_scraped
201612,,,Shaanxi,,,Utility-scale,,,,,Shaanxi,3.22,,,,missing_scraped
201612,,,Shandong,,,Total,,,,,Shandong,4.55,,,,missing_scraped
201612,,,Shandong,,,Total distributed,,,,,Shandong,1.19,,,,missing_scraped
201612,,,Shandong,,,Utility-scale,,,,,Shandong,3.36,,,,missing_scraped
201612,,,Shanghai,,,Total,,,,,Shanghai,0.36,,,,missing_scraped
201612,,,Shanghai,,,Total distributed,,,,,Shanghai,0.34,,,,missing_scraped
201612,,,Shanghai,,,Utility-scale,,,,,Shanghai,0.02,,,,missing_scraped
201612,,,Shanxi,,,Total,,,,,Shanxi,2.97,,,,missing_scraped
201612,,,Shanxi,,,Total distributed,,,,,Shanxi,0.13,,,,missing_scraped
201612,,,Shanxi,,,Utility-scale,,,,,Shanxi,2.84,,,,missing_scraped
201612,,,Sichuan,,,Total,,,,,Sichuan,0.96,,,,missing_scraped
201612,,,Sichuan,,,Total distributed,,,,,Sichuan,0.06,,,,missing_scraped
201612,,,Sichuan,,,Utility-scale,,,,,Sichuan,0.9,,,,missing_scraped
201612,,,Tianjin,,,Total,,,,,Tianjin,0.6,,,,missing_scraped
201612,,,Tianjin,,,Total distributed,,,,,Tianjin,0.12,,,,missing_scraped
201612,,,Tianjin,,,Utility-scale,,,,,Tianjin,0.48,,,,missing_scraped
201612,,,Tibet,,,Total,,,,,Tibet,0.32,,,,missing_scraped
201612,,,Tibet,,,Total distributed,,,,,Tibet,0.0,,,,missing_scraped
201612,,,Tibet,,,Utility-scale,,,,,Tibet,0.32,,,,missing_scraped
201612,,,Total,,,Total,,,,,Total,77.42,,,,missing_scraped
201612,,,Total,,,Total distributed,,,,,Total,10.32,,,,missing_scraped
201612,,,Total,,,Utility-scale,,,,,Total,67.1,,,,missing_scraped
201612,,,Xinjiang,,,Total,,,,,Xinjiang,7.09,,,,missing_scraped
201612,,,Xinjiang,,,Total distributed,,,,,Xinjiang,0.0,,,,missing_scraped
201612,,,Xinjiang,,,Utility-scale,,,,,Xinjiang,7.09,,,,missing_scraped
201612,,,Xinjiang (Including Corps),,,Total,,,,,Xinjiang (Including Corps),0.0,,,,missing_scraped
201612,,,Xinjiang (Including Corps),,,Total distributed,,,,,Xinjiang (Including Corps),0.0,,,,missing_scraped
201612,,,Xinjiang (Including Corps),,,Utility-scale,,,,,Xinjiang (Including Corps),0.0,,,,missing_scraped
201612,,,Xinjiang Production and Construction Corps,,,Total,,,,,Xinjiang Corps,1.53,,,,missing_scraped
201612,,,Xinjiang Production and Construction Corps,,,Total distributed,,,,,Xinjiang Corps,0.0,,,,missing_scraped
201612,,,Xinjiang Production and Construction Corps,,,Utility-scale,,,,,Xinjiang Corps,1.53,,,,missing_scraped
201612,,,Yunnan,,,Total,,,,,Yunnan,2.09,,,,missing_scraped
201612,,,Yunnan,,,Total distributed,,,,,Yunnan,0.01,,,,missing_scraped
201612,,,Yunnan,,,Utility-scale,,,,,Yunnan,2.08,,,,missing_scraped
201612,,,Zhejiang,,,Total,,,,,Zhejiang,3.39,,,,missing_scraped
201612,,,Zhejiang,,,Total distributed,,,,,Zhejiang,2.08,,,,missing_scraped
201612,,,Zhejiang,,,Utility-scale,,,,,Zhejiang,1.31,,,,missing_scraped
201706,2017.0,h1,Anhui,安徽,Anhui,Total,420.0,4.2,https://www.nea.gov.cn/2017-08/04/c_136499745.htm,2017-08-04_2017年上半年光伏发电建设运行信息简况---国家能源局_clean.csv,Anhui,6.36,-2.16,-216.0,2.16,different
201706,2017.0,h1,Anhui,安徽,Anhui,Total distributed,291.0,2.91,https://www.nea.gov.cn/2017-08/04/c_136499745.htm,2017-08-04_2017年上半年光伏发电建设运行信息简况---国家能源局_clean.csv,Anhui,2.16,0.75,75.0,0.75,different
201706,2017.0,h1,Anhui,安徽,Anhui,Utility-scale,216.0,2.16,https://www.nea.gov.cn/2017-08/04/c_136499745.htm,2017-08-04_2017年上半年光伏发电建设运行信息简况---国家能源局_clean.csv,Anhui,4.2,-2.04,-204.0,2.04,different
201706,2017.0,h1,Beijing,北京,Beijing,Total,5.0,0.05,https://www.nea.gov.cn/2017-08/04/c_136499745.htm,2017-08-04_2017年上半年光伏发电建设运行信息简况---国家能源局_clean.csv,Beijing,0.24,-0.19,-19.0,0.19,different
