source_page_url,title,publish_date,year,checkpoint,image_order,image_url,local_path
https://www.nea.gov.cn/2017-08/04/c_136499745.htm,2017年上半年光伏发电建设运行信息简况---国家能源局,2017-08-04,2017,h1,1,https://www.nea.gov.cn/2017-08/04/136499745_15018308572551n.png,C:\Users\james\Documents\GitHub\GIPT\China NEA\raw_images\2017-08-04_2017年上半年光伏发电建设运行信息简况---国家能源局\01.png
https://www.nea.gov.cn/2019-06/06/c_138121866.htm,2019年一季度光伏发电建设运行情况---国家能源局,2019-06-06,2019,q1,1,https://www.nea.gov.cn/2019-06/06/138121866_15598078503091n.png,C:\Users\james\Documents\GitHub\GIPT\China NEA\raw_images\2019-06-06_2019年一季度光伏发电建设运行情况---国家能源局\01.png
https://www.nea.gov.cn/2019-08/23/c_138330885.htm,2019年上半年光伏发电建设运行情况---国家能源局,2019-08-23,2019,h1,1,https://www.nea.gov.cn/2019-08/23/138330885_15665214990051n.png,C:\Users\james\Documents\GitHub\GIPT\China NEA\raw_images\2019-08-23_2019年上半年光伏发电建设运行情况---国家能源局\01.png
https://www.nea.gov.cn/2021-10/25/c_1310267679.htm,2021年前三季度全国光伏发电建设运行情况---国家能源局,2021-10-25,2021,q3,1,https://www.nea.gov.cn/2021-10/25/1310267679_16351533707761n.jpg,C:\Users\james\Documents\GitHub\GIPT\China NEA\raw_images\2021-10-25_2021年前三季度全国光伏发电建设运行情况---国家能源局\01.jpg
https://www.nea.gov.cn/2022-04/27/c_1310576175.htm,2022年一季度光伏发电建设运行情况---国家能源局,2022-04-27,2022,q1,1,https://www.nea.gov.cn/2022-04/27/1310576175_16510476085731n.jpg,C:\Users\james\Documents\GitHub\GIPT\China NEA\raw_images\2022-04-27_2022年一季度光伏发电建设运行情况---国家能源局\01.jpg
https://www.nea.gov.cn/2024-11/01/c_1310787081.htm,2024年前三季度光伏发电建设情况---国家能源局,2024-11-01,2024,q3,1,https://www.nea.gov.cn/2024-11/01/1310787081_17304279799971n.jpg,C:\Users\james\Documents\GitHub\GIPT\China NEA\raw_images\2024-11-01_2024年前三季度光伏发电建设情况---国家能源局\01.jpg
https://www.nea.gov.cn/2024-11/01/c_1310787081.htm,2024年前三季度光伏发电建设情况---国家能源局,2024-11-01,2024,q3,2,https://www.nea.gov.cn/2024-11/01/1310787081_17304279976081n.jpg,C:\Users\james\Documents\GitHub\GIPT\China NEA\raw_images\2024-11-01_2024年前三季度光伏发电建设情况---国家能源局\02.jpg
https://www.nea.gov.cn/2024-11/01/c_1310787081.htm,2024年前三季度光伏发电建设情况---国家能源局,2024-11-01,2024,q3,3,https://www.nea.gov.cn/2024-11/01/1310787081_17304280203461n.jpg,C:\Users\james\Documents\GitHub\GIPT\China NEA\raw_images\2024-11-01_2024年前三季度光伏发电建设情况---国家能源局\03.jpg
https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024年光伏发电建设情况---国家能源局,2025-01-27,2024,annual,1,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/20250221f04452701c914d51a89d0c0ea6f4acd1_202502211d5ac93ba86a4a7db188d1a8601fe72f.jpeg,C:\Users\james\Documents\GitHub\GIPT\China NEA\raw_images\2025-01-27_2024年光伏发电建设情况---国家能源局\01.jpeg
https://www.nea.gov.cn/20250429/b78504d2e8a14b97bdcffb2c501b7393/c.html,2025年一季度光伏发电建设情况---国家能源局,2025-04-29,2025,q1,1,https://www.nea.gov.cn/20250429/b78504d2e8a14b97bdcffb2c501b7393/20250429b78504d2e8a14b97bdcffb2c501b7393_202504292a73fc807f054fe094b8e7a9e08432b0.png,C:\Users\james\Documents\GitHub\GIPT\China NEA\raw_images\2025-04-29_2025年一季度光伏发电建设情况---国家能源局\01.png
https://www.nea.gov.cn/20250811/b32802d80ef04148b704e6bc1cd51eb2/c.html,2025年上半年光伏发电建设情况---国家能源局,2025-08-04,2025,h1,1,https://www.nea.gov.cn/20250811/b32802d80ef04148b704e6bc1cd51eb2/20250811b32802d80ef04148b704e6bc1cd51eb2_2025081146a96ed2e6924771b787a7d2e5fdc2d3.jpg,C:\Users\james\Documents\GitHub\GIPT\China NEA\raw_images\2025-08-04_2025年上半年光伏发电建设情况---国家能源局\01.jpg
https://www.nea.gov.cn/20260305/4216fa1274bd4b7f8da92090ba3999aa/c.html,2025年光伏发电建设情况---国家能源局,2026-02-21,2025,annual,1,https://www.nea.gov.cn/20260305/4216fa1274bd4b7f8da92090ba3999aa/202603054216fa1274bd4b7f8da92090ba3999aa_202603053183d20fabdf4909a6f2711097ce52a0.png,C:\Users\james\Documents\GitHub\GIPT\China NEA\raw_images\2026-02-21_2025年光伏发电建设情况---国家能源局\01.png
