period,year,checkpoint,area_key,province_cn,province_en,category,scraped_10kw,scraped_gw,source_page_url,source_file,reference_area,reference_gw,diff_gw,diff_10kw,abs_diff_gw,comparison_status
201612,2016.0,annual,Gansu,甘肃,Gansu,Total distributed,6.0,0.06,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Gansu,0.07,-0.010000000000000009,-1.0000000000000009,0.010000000000000009,different
201612,2016.0,annual,Hainan,海南,Hainan,Total distributed,10.0,0.1,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Hainan,0.09,0.010000000000000009,1.0000000000000009,0.010000000000000009,different
201612,2016.0,annual,Hainan,海南,Hainan,Utility-scale,24.0,0.24,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Hainan,0.25,-0.010000000000000009,-1.0000000000000009,0.010000000000000009,different
201612,2016.0,annual,Heilongjiang,黑龙江,Heilongjiang,Total,17.0,0.17,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Heilongjiang,0.16,0.010000000000000009,1.0000000000000009,0.010000000000000009,different
201612,2016.0,annual,Henan,河南,Henan,Total,284.0,2.84,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Henan,2.85,-0.010000000000000231,-1.000000000000023,0.010000000000000231,different
201612,2016.0,annual,Henan,河南,Henan,Total distributed,36.0,0.36,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Henan,0.37,-0.010000000000000009,-1.0000000000000009,0.010000000000000009,different
201612,2016.0,annual,Hunan,湖南,Hunan,Total,30.0,0.3,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Hunan,0.29,0.010000000000000009,1.0000000000000009,0.010000000000000009,different
201612,2016.0,annual,Hunan,湖南,Hunan,Total distributed,30.0,0.3,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Hunan,0.29,0.010000000000000009,1.0000000000000009,0.010000000000000009,different
201612,2016.0,annual,Jiangsu,江苏,Jiangsu,Total distributed,173.0,1.73,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Jiangsu,1.72,0.010000000000000009,1.0000000000000009,0.010000000000000009,different
201612,2016.0,annual,Jiangxi,江西,Jiangxi,Utility-scale,171.0,1.71,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Jiangxi,1.72,-0.010000000000000009,-1.0000000000000009,0.010000000000000009,different
201612,2016.0,annual,Shanghai,上海,Shanghai,Total,35.0,0.35,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Shanghai,0.36,-0.010000000000000009,-1.0000000000000009,0.010000000000000009,different
201612,2016.0,annual,Shanghai,上海,Shanghai,Total distributed,33.0,0.33,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Shanghai,0.34,-0.010000000000000009,-1.0000000000000009,0.010000000000000009,different
201612,2016.0,annual,Tibet,西藏,Tibet,Total,33.0,0.33,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Tibet,0.32,0.010000000000000009,1.0000000000000009,0.010000000000000009,different
201612,2016.0,annual,Tibet,西藏,Tibet,Utility-scale,33.0,0.33,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Tibet,0.32,0.010000000000000009,1.0000000000000009,0.010000000000000009,different
201612,2016.0,annual,Xinjiang,新疆,Xinjiang,Total,862.0,8.62,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Xinjiang,7.09,1.5299999999999994,152.99999999999994,1.5299999999999994,different
201612,2016.0,annual,Xinjiang,新疆,Xinjiang,Utility-scale,862.0,8.62,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Xinjiang,7.09,1.5299999999999994,152.99999999999994,1.5299999999999994,different
201612,2016.0,annual,Xinjiang (Including Corps),新疆（含兵团）,Xinjiang (Including Corps),Total,862.0,8.62,derived: Xinjiang + Xinjiang Corps,derived_xinjiang_including_corps,Xinjiang (Including Corps),0.0,8.62,861.9999999999999,8.62,different
201612,2016.0,annual,Xinjiang (Including Corps),新疆（含兵团）,Xinjiang (Including Corps),Utility-scale,862.0,8.62,derived: Xinjiang + Xinjiang Corps,derived_xinjiang_including_corps,Xinjiang (Including Corps),0.0,8.62,861.9999999999999,8.62,different
201612,2016.0,annual,Zhejiang,浙江,Zhejiang,Total,338.0,3.38,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Zhejiang,3.39,-0.010000000000000231,-1.000000000000023,0.010000000000000231,different
201612,2016.0,annual,Zhejiang,浙江,Zhejiang,Total distributed,207.0,2.07,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Zhejiang,2.08,-0.010000000000000231,-1.000000000000023,0.010000000000000231,different
201612,2016.0,annual,Anhui,安徽,Anhui,Total,345.0,3.45,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Anhui,3.45,0.0,0.0,0.0,match
201612,2016.0,annual,Anhui,安徽,Anhui,Total distributed,78.0,0.78,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Anhui,0.78,0.0,0.0,0.0,match
201612,2016.0,annual,Anhui,安徽,Anhui,Utility-scale,267.0,2.67,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Anhui,2.67,0.0,0.0,0.0,match
201612,2016.0,annual,Beijing,北京,Beijing,Total,24.0,0.24,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Beijing,0.24,0.0,0.0,0.0,match
201612,2016.0,annual,Beijing,北京,Beijing,Total distributed,19.0,0.19,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Beijing,0.19,0.0,0.0,0.0,match
201612,2016.0,annual,Beijing,北京,Beijing,Utility-scale,5.0,0.05,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Beijing,0.05,0.0,0.0,0.0,match
201612,2016.0,annual,Chongqing,重庆,Chongqing,Total,0.5,0.005,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Chongqing,0.01,-0.005,-0.5,0.005,match
201612,2016.0,annual,Chongqing,重庆,Chongqing,Total distributed,0.5,0.005,https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2017-02-04_2016年光伏发电统计信息---国家能源局_clean.csv,Chongqing,0.01,-0.005,-0.5,0.005,match
