province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,3454.0,3031.0,423.0,,7742.0,6710.0,1032.0,,False
北京,Beijing,8.0,3.0,5.0,,24.0,5.0,19.0,,False
天津,Tianjin,47.0,44.0,3.0,,60.0,48.0,12.0,,False
河北,Hebei,203.0,192.0,11.0,,443.0,404.0,39.0,,False
山西,Shanxi,183.0,172.0,11.0,,297.0,284.0,13.0,,False
内蒙古,Inner Mongolia,148.0,166.0,,,637.0,637.0,0.0,,False
辽宁,Liaoning,36.0,29.0,7.0,,52.0,36.0,16.0,,False
吉林,Jilin,49.0,45.0,4.0,,56.0,51.0,5.0,,False
黑龙江,Heilongjiang,15.0,11.0,4.0,,17.0,12.0,5.0,,False
上海,Shanghai,14.0,0.0,14.0,,35.0,2.0,33.0,,False
江苏,Jiangsu,123.0,70.0,53.0,,546.0,373.0,173.0,,False
浙江,Zhejiang,175.0,88.0,87.0,,338.0,131.0,207.0,,False
安徽,Anhui,225.0,178.0,47.0,,345.0,267.0,78.0,,False
福建,Fujian,12.0,8.0,4.0,,27.0,11.0,16.0,,False
江西,Jiangxi,185.0,154.0,31.0,,228.0,171.0,57.0,,False
山东,Shandong,322.0,247.0,75.0,,455.0,336.0,119.0,,False
河南,Henan,244.0,234.0,10.0,,284.0,248.0,36.0,,False
湖北,Hubei,138.0,124.0,14.0,,187.0,167.0,20.0,,False
湖南,Hunan,1.0,0.0,1.0,,30.0,0.0,30.0,,False
广东,Guangdong,92.0,61.0,31.0,,156.0,68.0,88.0,,False
广西,Guangxi,6.0,4.0,2.0,,18.0,9.0,9.0,,False
海南,Hainan,10.0,5.0,5.0,,34.0,24.0,10.0,,False
重庆,Chongqing,0.0,0.0,0.0,,0.5,0.0,0.5,,False
四川,Sichuan,60.0,57.0,3.0,,96.0,90.0,6.0,,False
贵州,Guizhou,43.0,43.0,0.0,,46.0,46.0,0.0,,False
云南,Yunnan,144.0,145.0,,,208.0,208.0,0.0,,False
西藏,Tibet,16.0,16.0,0.0,,33.0,33.0,0.0,,False
陕西,Shaanxi,217.0,210.0,7.0,,334.0,322.0,12.0,,False
甘肃,Gansu,76.0,74.0,2.0,,686.0,680.0,6.0,,False
青海,Qinghai,119.0,118.0,1.0,,682.0,682.0,0.0,,False
宁夏,Ningxia,217.0,199.0,18.0,,526.0,505.0,21.0,,False
新疆,Xinjiang,329.0,333.0,,,862.0,862.0,0.0,,False
