province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,721.0,478.0,243.0,,8463.0,7188.0,1275.0,,False
北京,Beijing,0.0,0.0,0.0,,24.0,5.0,19.0,,False
天津,Tianjin,0.2,0.0,0.2,,60.0,48.0,12.0,,False
河北,Hebei,50.0,32.0,18.0,,492.0,436.0,56.0,,False
山西,Shanxi,12.0,6.0,6.0,,309.0,290.0,19.0,,False
内蒙古,Inner Mongolia,19.0,18.0,1.0,,656.0,655.0,1.0,,False
辽宁,Liaoning,4.0,3.0,1.0,,56.0,39.0,17.0,,False
吉林,Jilin,6.0,1.0,5.0,,62.0,52.0,10.0,,False
黑龙江,Heilongjiang,1.0,0.5,0.5,,18.0,12.0,6.0,,False
上海,Shanghai,4.0,0.0,4.0,,40.0,2.0,38.0,,False
江苏,Jiangsu,66.0,36.0,30.0,,611.0,409.0,202.0,,False
浙江,Zhejiang,105.0,60.0,45.0,,443.0,190.0,253.0,,False
安徽,Anhui,108.0,69.0,39.0,,453.0,336.0,117.0,,False
福建,Fujian,16.0,12.0,4.0,,43.0,23.0,20.0,,False
江西,Jiangxi,48.0,42.0,6.0,,276.0,214.0,62.0,,False
山东,Shandong,46.0,6.0,40.0,,501.0,342.0,159.0,,False
河南,Henan,101.0,89.0,12.0,,385.0,337.0,48.0,,False
湖北,Hubei,17.0,10.0,7.0,,204.0,178.0,26.0,,False
湖南,Hunan,15.0,5.0,10.0,,44.0,5.0,39.0,,False
广东,Guangdong,19.0,11.0,8.0,,175.0,78.0,97.0,,False
广西,Guangxi,0.7,1.0,,,19.0,10.0,9.0,,False
海南,Hainan,0.0,0.0,0.0,,34.0,24.0,10.0,,False
重庆,Chongqing,0.1,0.0,0.1,,0.6,0.0,0.6,,False
四川,Sichuan,0.2,0.0,0.2,,96.0,90.0,6.0,,False
贵州,Guizhou,0.0,0.0,0.0,,46.0,46.0,0.0,,False
云南,Yunnan,1.0,0.0,1.0,,210.0,208.0,2.0,,False
西藏,Tibet,6.0,6.0,0.0,,39.0,39.0,0.0,,False
陕西,Shaanxi,54.0,52.0,2.0,,388.0,373.0,15.0,,False
甘肃,Gansu,11.0,11.0,0.0,,697.0,690.0,7.0,,False
青海,Qinghai,8.0,7.0,1.0,,690.0,689.0,1.0,,False
宁夏,Ningxia,1.0,0.0,1.0,,527.0,505.0,22.0,,False
新疆,Xinjiang,2.0,0.0,2.0,,864.0,864.0,0.0,,False
