province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,3454.0,1740.0,1714.0,,16474.0,11794.0,4680.0,,False
北京,Beijing,11.0,0.0,11.0,,36.0,5.0,31.0,,False
天津,Tianjin,38.0,26.0,12.0,,105.0,79.0,26.0,,False
河北,Hebei,259.0,131.0,128.0,,1127.0,792.0,335.0,,False
山西,Shanxi,214.0,118.0,96.0,,804.0,648.0,156.0,,False
内蒙古,Inner Mongolia,137.0,129.0,8.0,,880.0,870.0,10.0,,False
辽宁,Liaoning,67.0,30.0,37.0,,290.0,214.0,76.0,,False
吉林,Jilin,42.0,33.0,9.0,,201.0,141.0,60.0,,False
黑龙江,Heilongjiang,101.0,66.0,35.0,,195.0,137.0,58.0,,False
上海,Shanghai,27.0,4.0,23.0,,85.0,6.0,79.0,,False
江苏,Jiangsu,329.0,134.0,195.0,,1237.0,718.0,519.0,,False
浙江,Zhejiang,275.0,46.0,229.0,,1089.0,361.0,728.0,,False
安徽,Anhui,181.0,88.0,93.0,,1069.0,654.0,415.0,,False
福建,Fujian,46.0,2.0,44.0,,138.0,36.0,102.0,,False
江西,Jiangxi,76.0,13.0,63.0,,526.0,290.0,236.0,,False
山东,Shandong,262.0,48.0,214.0,,1314.0,628.0,686.0,,False
河南,Henan,259.0,55.0,204.0,,962.0,585.0,377.0,,False
湖北,Hubei,90.0,28.0,62.0,,504.0,331.0,173.0,,False
湖南,Hunan,95.0,32.0,63.0,,271.0,117.0,154.0,,False
广东,Guangdong,162.0,70.0,92.0,,494.0,263.0,231.0,,False
广西,Guangxi,40.0,23.0,17.0,,109.0,86.0,23.0,,False
海南,Hainan,67.0,60.0,7.0,,100.0,87.0,13.0,,False
重庆,Chongqing,30.0,28.0,2.0,,42.0,39.0,3.0,,False
四川,Sichuan,37.0,35.0,2.0,,172.0,161.0,11.0,,False
贵州,Guizhou,44.0,37.0,7.0,,181.0,172.0,9.0,,False
云南,Yunnan,87.0,80.0,7.0,,320.0,308.0,12.0,,False
西藏,Tibet,10.0,10.0,0.0,,89.0,89.0,0.0,,False
陕西,Shaanxi,93.0,68.0,25.0,,617.0,544.0,73.0,,False
甘肃,Gansu,19.0,11.0,8.0,,804.0,777.0,27.0,,False
青海,Qinghai,165.0,161.0,4.0,,955.0,946.0,9.0,,False
宁夏,Ningxia,166.0,149.0,17.0,,786.0,737.0,49.0,,False
新疆维吾尔自治区,Xinjiang,27.0,26.0,1.0,,935.0,934.0,1.0,,False
新疆兵团,Xinjiang Production and Construction Corps,0.0,0.0,0.0,,39.0,39.0,0.0,,False
