province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,1599.0,773.0,826.0,,19019.0,13149.0,5870.0,,False
北京,Beijing,7.0,0.0,7.0,,46.0,5.0,41.0,,False
天津,Tianjin,12.0,6.0,6.0,,140.0,103.0,37.0,,False
河北,Hebei,129.0,51.0,78.0,,1363.0,907.0,456.0,,False
山西,Shanxi,137.0,120.0,17.0,,1001.0,801.0,200.0,,False
山东,Shandong,180.0,13.0,167.0,,1541.0,661.0,880.0,,False
内蒙古*,,63.0,46.0,17.0,,990.0,958.0,32.0,,True
辽宁,Liaoning,18.0,9.0,9.0,,320.0,228.0,92.0,,False
吉林,Jilin,8.0,2.0,6.0,,273.0,205.0,68.0,,False
黑龙江,Heilongjiang,7.0,4.0,3.0,,222.0,145.0,77.0,,False
上海,Shanghai,16.0,0.0,16.0,,104.0,6.0,98.0,,False
江苏,Jiangsu,113.0,23.0,90.0,,1445.0,815.0,630.0,,False
浙江,Zhejiang,138.0,31.0,107.0,,1276.0,393.0,883.0,,False
安徽,Anhui,51.0,22.0,29.0,,1169.0,699.0,470.0,,False
福建,Fujian,15.0,1.0,14.0,,163.0,38.0,125.0,,False
江西,Jiangxi,40.0,21.0,19.0,,576.0,316.0,260.0,,False
河南,Henan,44.0,0.0,44.0,,1035.0,600.0,435.0,,False
湖北,Hubei,45.0,18.0,27.0,,555.0,354.0,201.0,,False
湖南,Hunan,25.0,12.0,13.0,,318.0,138.0,180.0,,False
重庆,Chongqing,21.0,20.0,1.0,,64.0,58.0,6.0,,False
四川,Sichuan,6.0,2.0,4.0,,187.0,169.0,18.0,,False
陕西,Shaanxi,123.0,72.0,51.0,,839.0,686.0,153.0,,False
甘肃,Gansu,42.0,34.0,8.0,,871.0,813.0,58.0,,False
青海,Qinghai,150.0,145.0,5.0,,1106.0,1091.0,15.0,,False
宁夏,Ningxia,24.0,8.0,16.0,,841.0,769.0,72.0,,False
新疆(含兵团),,79.0,70.0,9.0,,1071.0,1061.0,10.0,,True
西藏,Tibet,12.0,12.0,0.0,,110.0,110.0,0.0,,False
广东,Guangdong,50.0,3.0,47.0,,577.0,285.0,292.0,,False
广西,Guangxi,10.0,10.0,0.0,,134.0,104.0,30.0,,False
海南,Hainan,4.0,4.0,0.0,,140.0,127.0,13.0,,False
贵州*,,8.0,0.0,8.0,,178.0,160.0,18.0,,True
云南,Yunnan,23.0,15.0,8.0,,366.0,346.0,20.0,,False
