province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,3011.0,1791.0,1220.0,,20430.0,14167.0,6263.0,,False
北京,Beijing,11.0,0.0,11.0,,51.0,5.0,46.0,,False
天津,Tianjin,15.0,7.0,8.0,,143.0,104.0,39.0,,False
河北,Hebei,240.0,106.0,134.0,,1474.0,962.0,512.0,,False
山西,Shanxi,224.0,176.0,48.0,,1088.0,857.0,231.0,,False
内蒙古,Inner Mongolia,153.0,88.0,65.0,,1081.0,1001.0,80.0,,False
辽宁,Liaoning,41.0,27.0,14.0,,343.0,246.0,97.0,,False
吉林,Jilin,9.0,2.0,7.0,,274.0,205.0,69.0,,False
黑龙江,Heilongjiang,59.0,54.0,5.0,,274.0,195.0,79.0,,False
上海,Shanghai,20.0,0.0,20.0,,109.0,6.0,103.0,,False
江苏,Jiangsu,153.0,29.0,124.0,,1486.0,821.0,665.0,,False
浙江,Zhejiang,201.0,52.0,149.0,,1339.0,414.0,925.0,,False
安徽,Anhui,136.0,96.0,40.0,,1254.0,773.0,481.0,,False
福建,Fujian,21.0,1.0,20.0,,169.0,38.0,131.0,,False
江西,Jiangxi,93.0,73.0,20.0,,630.0,367.0,263.0,,False
山东,Shandong,258.0,29.0,229.0,,1619.0,677.0,942.0,,False
河南,Henan,63.0,0.0,63.0,,1054.0,600.0,454.0,,False
湖北,Hubei,111.0,84.0,27.0,,621.0,419.0,202.0,,False
湖南,Hunan,52.0,29.0,23.0,,344.0,155.0,189.0,,False
广东,Guangdong,83.0,20.0,63.0,,610.0,302.0,308.0,,False
广西,Guangxi,12.0,11.0,1.0,,135.0,105.0,30.0,,False
海南,Hainan,4.0,4.0,0.0,,140.0,127.0,13.0,,False
重庆,Chongqing,22.0,20.0,2.0,,65.0,58.0,7.0,,False
四川,Sichuan,7.0,2.0,5.0,,188.0,169.0,19.0,,False
贵州,Guizhou,340.0,330.0,10.0,,510.0,491.0,19.0,,False
云南,Yunnan,33.0,19.0,14.0,,375.0,350.0,25.0,,False
西藏,Tibet,12.0,12.0,0.0,,110.0,110.0,0.0,,False
陕西,Shaanxi,223.0,165.0,58.0,,939.0,778.0,161.0,,False
甘肃,Gansu,79.0,57.0,22.0,,908.0,836.0,72.0,,False
青海,Qinghai,145.0,140.0,5.0,,1101.0,1086.0,15.0,,False
宁夏,Ningxia,102.0,82.0,20.0,,918.0,844.0,74.0,,False
新疆维吾尔自治区,Xinjiang,88.0,75.0,13.0,,1041.0,1027.0,14.0,,False
新疆兵团,Xinjiang Production and Construction Corps,0.0,0.0,0.0,,39.0,39.0,0.0,,False
