province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,395.0,223.0,172.0,,20825.0,14390.0,6435.0,,False
北京,Beijing,8.0,0.0,8.0,,59.0,5.0,54.0,,False
天津,Tianjin,5.0,4.0,1.0,,148.0,108.0,40.0,,False
河北,Hebei,20.0,17.0,3.0,,1495.0,978.0,517.0,,False
山西*,,29.0,39.0,,,1117.0,896.0,221.0,,True
内蒙古,Inner Mongolia,47.0,44.0,3.0,,1128.0,1044.0,84.0,,False
辽宁,Liaoning,3.0,1.0,2.0,,347.0,247.0,100.0,,False
吉林,Jilin,0.0,0.0,0.0,,274.0,205.0,69.0,,False
黑龙江,Heilongjiang,1.0,0.0,1.0,,275.0,195.0,80.0,,False
上海,Shanghai,6.0,0.0,6.0,,114.0,6.0,108.0,,False
江苏,Jiangsu,27.0,0.0,27.0,,1513.0,821.0,692.0,,False
浙江,Zhejiang,36.0,4.0,32.0,,1375.0,418.0,957.0,,False
安徽,Anhui,3.0,0.0,3.0,,1257.0,773.0,484.0,,False
福建,Fujian,4.0,0.0,4.0,,173.0,38.0,135.0,,False
江西,Jiangxi,14.0,2.0,12.0,,644.0,369.0,275.0,,False
山东,Shandong,28.0,2.0,26.0,,1647.0,679.0,968.0,,False
河南,Henan,17.0,0.0,17.0,,1071.0,600.0,471.0,,False
湖北,Hubei,17.0,11.0,6.0,,638.0,430.0,208.0,,False
湖南,Hunan,3.0,3.0,0.0,,347.0,158.0,189.0,,False
广东,Guangdong,60.0,50.0,10.0,,670.0,352.0,318.0,,False
广西,Guangxi,23.0,21.0,2.0,,158.0,127.0,31.0,,False
海南,Hainan,0.0,0.0,0.0,,140.0,127.0,13.0,,False
重庆,Chongqing,0.0,0.0,0.0,,65.0,58.0,7.0,,False
四川,Sichuan,1.0,0.0,1.0,,189.0,169.0,20.0,,False
贵州,Guizhou,4.0,4.0,0.0,,514.0,495.0,19.0,,False
云南,Yunnan,12.0,2.0,10.0,,387.0,352.0,35.0,,False
西藏,Tibet,18.0,18.0,0.0,,128.0,128.0,0.0,,False
陕西,Shaanxi,7.0,3.0,4.0,,946.0,781.0,165.0,,False
甘肃,Gansu,1.0,0.0,1.0,,909.0,836.0,73.0,,False
青海,Qinghai,0.0,0.0,0.0,,1101.0,1086.0,15.0,,False
宁夏,Ningxia,0.0,0.0,0.0,,918.0,844.0,74.0,,False
新疆维吾尔自治区,Xinjiang,1.0,0.0,1.0,,1042.0,1027.0,15.0,,False
新疆兵团,Xinjiang Production and Construction Corps,0.0,0.0,0.0,,39.0,39.0,0.0,,False
