province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,1301.1,,,,26708.6,18003.2,8705.4,,False
北京,Beijing,4.2,,,,65.3,5.1,60.2,,False
天津,Tianjin,6.1,,,,169.6,119.8,49.8,,False
河北,Hebei,155.6,,,,2365.6,1480.1,885.5,,False
山西,Shanxi,28.5,,,,1337.2,1038.6,298.6,,False
山东,Shandong,325.7,,,,2606.0,866.7,1739.3,,False
内蒙古,Inner Mongolia,58.0,,,,1309.3,1213.3,96.0,,False
辽宁,Liaoning,13.5,,,,412.1,284.8,127.3,,False
吉林,Jilin,0.5,,,,338.3,261.8,76.5,,False
黑龙江,Heilongjiang,21.3,,,,338.9,255.0,83.9,,False
上海,Shanghai,14.3,,,,151.0,24.1,126.9,,False
江苏,Jiangsu,77.4,,,,1764.6,909.7,854.9,,False
浙江,Zhejiang,79.4,,,,1621.6,486.7,1134.9,,False
安徽,Anhui,90.3,,,,1459.5,861.7,597.8,,False
福建,Fujian,20.5,,,,222.4,39.2,183.2,,False
江西,Jiangxi,44.0,,,,820.1,503.4,316.7,,False
河南,Henan,96.4,,,,1271.1,605.9,665.2,,False
湖北,Hubei,31.2,,,,735.2,515.7,219.5,,False
湖南,Hunan,16.9,,,,407.0,196.7,210.3,,False
重庆,Chongqing,1.3,,,,68.4,59.7,8.7,,False
四川,Sichuan,1.2,,,,192.3,169.0,23.3,,False
陕西,Shaanxi,62.3,,,,1143.5,945.3,198.2,,False
甘肃,Gansu,13.4,,,,977.8,902.3,75.5,,False
青海,Qinghai,13.3,,,,1590.7,1574.8,15.9,,False
宁夏,Ningxia,42.5,,,,1240.0,1160.5,79.5,,False
新疆,Xinjiang,11.5,,,,1233.5,1217.1,16.4,,False
新疆兵团,Xinjiang Production and Construction Corps,0.0,,,,39.0,39.0,0.0,,False
西藏,Tibet,0.3,,,,136.5,136.5,0.0,,False
广东,Guangdong,3.0,,,,860.0,422.4,437.6,,False
广西,Guangxi,44.3,,,,239.2,193.7,45.5,,False
海南,Hainan,0.2,,,,143.0,127.1,15.9,,False
贵州,Guizhou,24.0,,,,1056.6,1037.6,19.0,,False
云南,Yunnan,0.0,,,,393.3,349.9,43.4,,False
