province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,2555.6,915.0,1640.6,,27782.6,18383.5,9399.1,,False
北京,Beijing,7.5,0.4,7.1,,68.6,5.1,63.5,,False
天津,Tianjin,10.3,0.0,10.3,,173.9,118.8,55.0,,False
河北,Hebei,368.1,79.7,288.5,,2558.4,1524.1,1034.3,,False
山西,Shanxi,51.5,12.5,39.0,,1360.2,1041.0,319.1,,False
山东,Shandong,594.2,85.5,508.7,,2868.3,895.2,1973.1,,False
内蒙古,Inner Mongolia,99.5,90.0,9.5,,1331.8,1228.5,103.2,,False
辽宁,Liaoning,24.7,5.5,19.2,,423.3,286.2,137.1,,False
吉林,Jilin,3.5,1.0,2.5,,341.3,262.8,78.5,,False
黑龙江,Heilongjiang,22.7,20.0,2.6,,340.3,255.0,85.3,,False
上海,Shanghai,19.2,4.4,14.8,,155.8,24.1,131.8,,False
江苏,Jiangsu,124.5,10.1,114.5,,1812.3,909.7,902.5,,False
浙江,Zhejiang,153.0,46.8,106.2,,1665.2,491.9,1173.3,,False
安徽,Anhui,141.6,42.2,99.4,,1511.3,867.8,643.5,,False
福建,Fujian,43.7,1.0,42.6,,246.0,39.2,206.8,,False
江西,Jiangxi,74.7,40.4,34.4,,841.9,508.4,333.6,,False
河南,Henan,199.2,16.0,183.2,,1373.8,619.9,753.9,,False
湖北,Hubei,127.1,112.1,15.0,,821.7,594.9,226.9,,False
湖南,Hunan,26.1,7.8,18.3,,416.4,198.1,218.3,,False
重庆,Chongqing,1.6,0.0,1.6,,68.7,59.7,9.1,,False
四川,Sichuan,2.5,0.0,2.5,,193.6,169.0,24.6,,False
陕西,Shaanxi,99.5,84.5,15.0,,1183.5,1045.0,138.5,,False
甘肃,Gansu,15.1,12.2,2.9,,981.2,904.3,76.9,,False
青海,Qinghai,23.3,23.0,0.3,,1600.7,1584.8,16.0,,False
宁夏,Ningxia,83.1,78.5,4.6,,1280.2,1200.5,79.7,,False
新疆,Xinjiang,15.5,15.0,0.5,,1233.5,1217.1,16.4,,False
新疆兵团,Xinjiang Production and Construction Corps,0.0,0.0,0.0,,39.0,39.0,0.0,,False
西藏,Tibet,2.4,0.2,2.2,,138.7,136.5,2.2,,False
广东,Guangdong,127.4,42.4,84.9,,897.5,427.6,469.9,,False
广西,Guangxi,54.1,50.3,3.7,,261.2,214.8,46.4,,False
海南,Hainan,0.3,0.0,0.3,,143.0,127.1,15.9,,False
贵州,Guizhou,33.4,33.4,0.0,,1056.6,1037.6,19.0,,False
云南,Yunnan,6.5,0.0,6.5,,394.7,349.9,44.8,,False
