province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,5488.0,2560.07,2927.9,0.0,30598.7,19847.94,10750.8,0.0,False
北京,Beijing,18.6,0.0,18.6,0.0,80.1,5.1,75.0,0.0,False
天津,Tianjin,14.2,0.01,14.2,0.0,177.8,118.85,58.9,0.0,False
河北,Hebei,730.0,213.32,516.7,0.0,2921.3,1658.84,1262.5,0.0,False
山西,Shanxi,149.2,73.52,75.7,0.0,1457.7,1101.84,355.9,0.0,False
山东,Shandong,1070.9,203.95,867.0,0.0,3343.4,1008.97,2334.4,0.0,False
内蒙古,Inner Mongolia,173.9,161.5,12.4,0.0,1402.0,1299.5,102.5,0.0,False
辽宁,Liaoning,77.7,35.61,42.1,0.0,477.5,317.5,160.0,0.0,False
吉林,Jilin,9.0,4.88,4.1,0.0,345.9,265.79,80.1,0.0,False
黑龙江,Heilongjiang,102.1,95.0,7.1,0.0,419.8,329.99,89.8,0.0,False
上海,Shanghai,31.7,4.39,27.3,0.0,168.3,24.09,144.2,0.0,False
江苏,Jiangsu,232.0,45.17,186.8,0.0,1916.0,941.08,974.9,0.0,False
浙江,Zhejiang,362.5,164.86,197.6,0.0,1841.8,577.03,1264.8,0.0,False
安徽,Anhui,337.2,121.46,215.7,0.0,1706.8,947.02,759.8,0.0,False
福建,Fujian,75.0,1.36,73.6,0.0,277.0,39.16,237.9,0.0,False
江西,Jiangxi,135.3,75.29,60.0,0.0,911.1,551.95,359.2,0.0,False
河南,Henan,381.0,21.95,359.0,0.0,1555.6,625.8,929.8,0.0,False
湖北,Hubei,255.0,227.34,27.7,0.0,952.6,713.0,239.6,0.0,False
湖南,Hunan,60.5,29.53,30.9,0.0,451.1,220.15,231.0,0.0,False
重庆,Chongqing,6.8,5.0,1.8,0.0,63.4,54.17,9.2,0.0,False
四川,Sichuan,4.8,0.0,4.8,0.0,195.9,169.01,26.9,0.0,False
陕西,Shaanxi,229.6,209.4,20.2,0.0,1313.7,1102.82,210.9,0.0,False
甘肃,Gansu,159.5,156.33,3.1,0.0,1124.8,1047.65,77.1,0.0,False
青海,Qinghai,63.0,62.68,0.3,0.0,1610.8,1594.77,16.0,0.0,False
宁夏,Ningxia,186.8,181.4,5.4,0.0,1384.0,1303.36,80.6,0.0,False
新疆,Xinjiang,49.8,49.3,0.5,0.0,1272.0,1254.78,17.2,0.0,False
新疆兵团,Xinjiang Production and Construction Corps,0.0,0.0,0.0,0.0,77.2,77.2,0.0,0.0,False
西藏,Tibet,2.4,0.25,2.2,0.0,138.7,136.51,2.2,0.0,False
广东,Guangdong,226.4,99.38,127.0,0.0,1020.1,508.2,511.9,0.0,False
广西,Guangxi,106.6,96.7,9.9,0.0,311.7,259.16,52.6,0.0,False
海南,Hainan,25.9,19.09,6.8,0.0,146.5,127.1,19.4,0.0,False
贵州,Guizhou,147.3,146.93,0.4,0.0,1137.0,1117.6,19.4,0.0,False
云南,Yunnan,63.3,54.48,8.8,0.0,397.1,349.91,47.2,0.0,False
