province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,7842.3,3746.0,4096.3,2152.2,47000.2,27177.4,19822.8,9502.4,False
北京,Beijing,6.5,0.0,6.5,0.8,101.8,5.1,96.7,30.2,False
天津,Tianjin,105.8,70.4,35.4,13.2,326.4,192.1,134.3,30.1,False
河北,Hebei,316.2,103.3,213.0,116.0,4171.5,2097.4,2074.2,1600.1,False
山西,Shanxi,215.3,133.2,82.2,69.2,1911.1,1390.2,520.9,350.8,False
山东,Shandong,675.9,190.0,485.8,272.7,4945.8,1374.1,3571.6,2322.1,False
内蒙古,Inner Mongolia,196.0,173.4,22.7,9.5,1767.6,1623.8,143.8,65.4,False
辽宁,Liaoning,141.9,60.9,80.9,47.5,742.4,442.2,300.2,137.1,False
吉林,Jilin,18.9,10.5,8.4,3.9,405.6,305.1,100.4,26.5,False
黑龙江,Heilongjiang,28.4,4.9,23.5,8.2,503.6,371.8,131.8,20.3,False
上海,Shanghai,37.2,12.8,24.4,0.9,232.1,36.8,195.3,20.3,False
江苏,Jiangsu,564.3,48.0,516.3,199.8,3070.6,999.2,2071.4,511.8,False
浙江,Zhejiang,317.0,20.3,296.8,8.3,2856.0,633.7,2222.3,335.4,False
安徽,Anhui,536.8,87.5,449.3,246.2,2689.3,1149.7,1539.6,743.3,False
福建,Fujian,184.2,0.0,184.2,78.7,649.1,39.2,609.9,254.1,False
江西,Jiangxi,341.4,90.2,251.2,180.9,1543.8,785.9,757.9,350.8,False
河南,Henan,759.3,15.0,744.3,633.9,3092.3,643.8,2448.5,1866.1,False
湖北,Hubei,567.6,436.1,131.5,71.2,1883.3,1411.7,471.6,138.3,False
湖南,Hunan,169.9,31.1,138.8,100.4,805.8,317.2,488.7,210.7,False
重庆,Chongqing,21.3,0.0,21.3,0.5,90.6,54.2,36.4,3.6,False
四川,Sichuan,152.6,148.2,4.4,1.1,358.9,321.2,37.6,12.8,False
陕西,Shaanxi,347.0,310.3,60.4,41.8,1863.1,1504.0,359.1,138.7,False
甘肃,Gansu,223.8,220.9,2.9,1.0,1619.6,1531.2,88.4,10.9,False
青海,Qinghai,97.7,97.5,0.2,0.0,1912.6,1896.8,15.8,2.5,False
宁夏,Ningxia,410.0,388.2,21.8,0.2,1993.8,1879.9,114.0,101.4,False
新疆,Xinjiang,328.0,328.0,0.0,0.0,1795.5,1778.0,17.5,1.8,False
新疆兵团,Xinjiang Production and Construction Corps,0.0,0.0,0.0,0.0,105.8,105.8,0.0,0.0,False
西藏,Tibet,69.0,66.0,2.9,0.0,190.7,188.5,2.2,0.0,False
广东,Guangdong,363.5,137.0,226.5,35.1,1953.7,890.4,1063.3,169.8,False
广西,Guangxi,158.5,136.1,22.4,2.3,678.1,572.7,105.4,16.0,False
海南,Hainan,95.4,57.1,38.3,6.2,341.2,256.8,84.4,14.9,False
贵州,Guizhou,31.7,29.3,2.4,0.1,1452.0,1425.9,26.0,2.2,False
云南,Yunnan,361.3,339.8,21.5,2.5,946.6,865.0,81.6,14.3,False
