province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,10248.0,4960.0,5288.0,1585.0,71293.0,40342.0,30951.0,13184.0,False
北京,Beijing,5.6,0.0,5.6,1.7,114.0,5.1,108.9,34.4,False
天津,Tianjin,119.1,20.9,98.3,8.2,608.7,319.8,288.9,42.9,False
河北,Hebei,568.2,302.3,265.8,98.2,5984.6,3326.2,2658.4,1829.4,False
山西,Shanxi,352.7,209.8,142.9,66.6,2843.1,2033.8,809.2,551.5,False
山东,Shandong,661.2,183.4,477.8,138.2,6353.7,1777.2,4576.5,2699.2,False
内蒙古,Inner Mongolia,466.5,394.2,72.2,43.2,2822.1,2577.2,244.9,97.1,False
辽宁,Liaoning,149.1,13.7,135.4,95.3,1106.8,535.1,571.7,313.3,False
吉林,Jilin,51.9,19.9,32.0,23.4,511.7,360.1,151.6,66.1,False
黑龙江,Heilongjiang,49.1,20.0,29.1,14.5,614.0,416.1,197.9,51.4,False
上海,Shanghai,46.5,0.0,46.5,0.8,336.0,39.8,296.2,21.9,False
江苏,Jiangsu,1075.2,127.5,947.7,505.2,5003.3,1283.3,3720.0,1364.5,False
浙江,Zhejiang,521.3,46.7,474.6,59.0,3878.0,713.9,3164.1,296.1,False
安徽,Anhui,504.5,83.2,421.3,192.3,3727.6,1369.2,2358.5,1143.7,False
福建,Fujian,181.0,11.1,169.9,37.2,1055.5,55.2,1000.3,377.6,False
江西,Jiangxi,313.8,228.8,85.0,25.3,2306.9,1209.9,1097.1,600.0,False
河南,Henan,310.6,0.0,310.6,49.9,4042.0,630.0,3412.0,2281.2,False
湖北,Hubei,439.2,197.8,241.4,25.6,2926.5,1947.0,979.5,318.0,False
湖南,Hunan,266.8,43.1,223.7,23.7,1518.5,442.8,1075.7,325.4,False
重庆,Chongqing,47.6,16.5,31.2,0.8,204.5,97.8,106.6,5.5,False
四川,Sichuan,171.5,155.5,16.0,6.1,745.1,678.4,66.7,19.1,False
陕西,Shaanxi,210.1,14.6,195.5,96.2,2501.5,1834.0,667.5,347.8,False
甘肃,Gansu,232.7,200.0,32.6,12.9,2751.4,2614.8,136.6,36.9,False
青海,Qinghai,198.0,195.2,2.8,0.4,2685.0,2663.0,22.1,3.2,False
宁夏,Ningxia,232.1,212.7,19.5,5.8,2327.5,2183.0,144.5,12.0,False
新疆,Xinjiang,932.6,931.8,0.7,0.0,3875.2,3856.5,18.7,3.7,False
新疆兵团,Xinjiang Production and Construction Corps,47.1,47.1,0.0,0.0,273.5,273.5,0.0,0.0,False
西藏,Tibet,26.6,26.2,0.4,0.0,281.6,276.5,5.1,0.0,False
广东,Guangdong,752.7,348.5,404.3,44.2,3274.0,1243.6,2030.4,267.2,False
广西,Guangxi,326.3,78.2,248.1,1.1,1459.0,883.1,575.9,19.7,False
海南,Hainan,159.8,100.3,59.5,1.4,632.3,414.7,217.5,23.6,False
贵州,Guizhou,152.0,122.9,29.1,0.1,1781.5,1735.9,45.6,2.4,False
云南,Yunnan,676.3,608.3,68.0,7.4,2748.1,2546.1,202.0,29.0,False
