province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,16088.0,7566.0,8522.0,2280.0,77225.0,43035.0,34191.0,13852.0,False
北京,Beijing,10.3,10.3,,3.7,118.7,5.1,113.6,36.4,False
天津,Tianjin,165.4,27.1,138.3,11.2,655.0,326.0,329.0,46.0,False
河北,Hebei,771.4,385.7,385.7,131.9,6187.8,3409.6,2778.2,1862.8,False
山西,Shanxi,607.3,389.4,217.9,91.4,3097.7,2213.5,884.2,576.3,False
山东,Shandong,1047.5,333.7,713.8,169.4,6740.0,1927.4,4812.6,2728.9,False
内蒙古,Inner Mongolia,551.7,441.1,110.6,68.1,2907.4,2624.2,283.2,122.1,False
辽宁,Liaoning,204.5,14.3,190.2,123.8,1162.1,535.6,626.5,341.8,False
吉林,Jilin,82.8,29.9,52.9,44.5,542.6,370.1,172.5,87.2,False
黑龙江,Heilongjiang,67.5,20.0,47.5,22.1,632.4,416.1,216.3,58.9,False
上海,Shanghai,76.4,,76.4,1.3,365.9,39.8,326.1,22.4,False
江苏,Jiangsu,1555.0,180.4,1374.5,668.7,5483.0,1336.2,4146.8,1528.0,False
浙江,Zhejiang,872.0,68.3,803.7,121.9,4228.7,735.4,3493.3,358.9,False
安徽,Anhui,803.6,121.9,681.7,312.2,4026.7,1407.8,2618.9,1243.6,False
福建,Fujian,254.5,11.1,243.4,46.7,1129.0,55.2,1073.8,387.1,False
江西,Jiangxi,489.4,365.9,123.5,44.7,2482.6,1347.0,1135.6,616.3,False
河南,Henan,523.9,,523.9,74.4,4255.2,630.0,3625.3,2305.6,False
湖北,Hubei,718.8,255.8,463.0,32.0,3206.1,2005.0,1201.1,321.8,False
湖南,Hunan,462.9,58.2,404.6,37.8,1714.6,457.5,1257.1,339.5,False
重庆,Chongqing,97.7,21.9,75.7,1.1,254.5,99.0,155.4,5.8,False
四川,Sichuan,246.2,191.5,54.8,9.1,819.8,714.3,105.5,22.1,False
陕西,Shaanxi,598.1,288.4,309.7,135.8,2889.5,2107.9,781.7,387.4,False
甘肃,Gansu,411.5,352.7,58.8,21.3,2920.2,2757.5,162.8,45.2,False
青海,Qinghai,496.8,482.4,14.4,1.0,3037.4,3003.8,33.6,3.8,False
宁夏,Ningxia,331.7,301.2,30.5,10.0,2468.3,2312.8,155.5,16.2,False
新疆,Xinjiang,1223.5,1217.1,6.4,0.1,4166.2,4141.8,24.4,3.8,False
新疆兵团,Xinjiang Production and Construction Corps,47.1,47.1,,0.1,273.5,273.5,,,False
西藏,Tibet,93.2,92.8,0.4,,339.2,333.4,5.8,,False
广东,Guangdong,1145.3,428.4,716.9,81.0,3666.5,1323.2,2343.3,304.0,False
广西,Guangxi,600.8,152.8,447.9,1.8,1733.6,957.9,775.7,20.4,False
海南,Hainan,208.5,121.9,86.6,2.5,680.9,436.3,244.6,24.8,False
贵州,Guizhou,247.3,185.8,61.5,0.2,1893.3,1815.3,78.0,2.5,False
云南,Yunnan,1075.1,978.7,96.5,11.0,3146.9,2916.4,230.4,32.6,False
