province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,27757.0,15939.0,11818.0,2955.0,88568.0,51089.0,37478.0,14515.0,False
北京,Beijing,21.9,3.0,18.9,8.4,130.3,8.1,122.2,41.1,False
天津,Tianjin,234.6,52.4,182.2,12.7,724.1,351.3,372.9,47.5,False
河北,Hebei,1786.3,1270.5,515.7,157.3,7202.4,4294.1,2908.3,1888.1,False
山西,Shanxi,986.5,677.0,309.5,112.6,3476.8,2500.9,975.9,597.5,False
山东,Shandong,1920.9,999.1,921.8,205.7,7613.4,2592.9,5020.6,2764.9,False
内蒙古,Inner Mongolia,2455.3,2321.3,134.0,80.0,4810.9,4502.7,308.1,133.9,False
辽宁,Liaoning,256.3,20.8,235.5,141.7,1213.9,542.1,671.8,359.7,False
吉林,Jilin,123.2,41.8,81.4,64.6,583.0,382.0,201.0,107.2,False
黑龙江,Heilongjiang,152.2,75.0,77.1,29.2,717.1,471.1,245.9,66.0,False
上海,Shanghai,122.0,,122.0,2.0,411.4,39.8,371.6,23.0,False
江苏,Jiangsu,2236.7,439.2,1797.4,841.8,6164.7,1595.0,4569.7,1701.1,False
浙江,Zhejiang,1370.8,166.8,1204.0,207.2,4727.5,833.9,3893.6,444.2,False
安徽,Anhui,1088.2,156.0,932.2,418.8,4311.3,1441.9,2869.3,1349.2,False
福建,Fujian,383.8,32.4,351.4,54.4,1258.3,76.5,1181.8,394.9,False
江西,Jiangxi,570.7,393.4,177.3,76.8,2563.9,1374.5,1189.4,648.1,False
河南,Henan,617.7,,617.7,86.6,4349.1,630.0,3719.1,2317.8,False
湖北,Hubei,1022.7,398.7,624.0,37.3,3510.0,2147.8,1362.1,317.5,False
湖南,Hunan,621.6,86.9,534.8,44.5,1873.4,486.1,1387.3,346.2,False
重庆,Chongqing,152.9,30.4,122.5,1.5,309.8,107.2,202.6,6.3,False
四川,Sichuan,508.8,366.5,142.3,10.8,1082.3,889.3,193.0,23.9,False
陕西,Shaanxi,1141.5,704.4,437.1,183.7,3433.0,2523.9,909.1,435.3,False
甘肃,Gansu,620.0,540.1,80.0,25.1,3138.8,2954.9,183.9,49.0,False
青海,Qinghai,1102.0,1083.5,18.6,2.1,3642.0,3604.3,37.8,4.9,False
宁夏,Ningxia,487.4,437.7,49.7,11.2,2624.0,2449.3,174.7,17.5,False
新疆,Xinjiang,2668.2,2659.4,8.8,0.1,5345.6,5318.7,26.8,3.8,False
新疆兵团,Xinjiang Production and Construction Corps,102.8,102.8,,,329.2,329.2,,,False
西藏,Tibet,159.4,149.6,9.7,,403.9,398.4,5.5,,False
广东,Guangdong,1594.2,478.3,1115.9,119.1,4115.5,1373.3,2742.3,342.1,False
广西,Guangxi,919.8,281.6,638.1,3.0,2052.3,1088.6,963.7,21.6,False
海南,Hainan,268.3,159.8,108.5,3.2,740.8,472.5,268.4,25.5,False
贵州,Guizhou,408.8,315.5,93.3,0.5,1985.6,1876.0,109.6,2.8,False
云南,Yunnan,1651.3,1495.3,156.0,13.1,3723.0,3433.1,289.9,34.8,False
