province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,5971.0,2341.0,3631.0,505.0,94544.0,53440.0,41104.0,15032.0,False
北京,Beijing,18.1,0.0,18.1,6.3,148.8,8.1,140.7,47.4,False
天津,Tianjin,66.3,29.4,36.9,0.4,790.4,380.7,409.8,47.9,False
河北,Hebei,219.3,118.2,101.1,14.4,7435.0,4425.6,3009.5,1902.4,False
山西,Shanxi,292.5,191.9,100.6,18.7,3769.4,2692.9,1076.5,616.3,False
内蒙古,Inner Mongolia,42.7,23.3,19.5,11.3,4853.6,4531.9,321.7,144.5,False
辽宁,Liaoning,50.6,8.0,42.6,15.0,1264.6,550.1,714.5,374.7,False
吉林,Jilin,33.5,10.7,22.7,18.7,616.5,392.7,223.7,126.0,False
黑龙江,Heilongjiang,30.7,10.0,20.7,3.8,747.7,481.1,266.6,69.8,False
上海,Shanghai,32.7,2.6,30.1,0.5,444.1,42.3,401.8,23.4,False
江苏,Jiangsu,666.6,197.9,468.7,128.1,6831.4,1793.1,5038.4,1829.2,False
浙江,Zhejiang,343.8,12.7,331.1,77.6,5071.3,846.6,4224.6,529.7,False
安徽,Anhui,373.4,51.4,322.0,83.5,4684.8,1493.4,3191.4,1433.0,False
福建,Fujian,90.6,10.2,80.4,5.5,1348.9,86.7,1262.2,400.4,False
江西,Jiangxi,74.1,14.5,59.6,24.4,2624.5,1375.5,1249.1,676.7,False
山东,Shandong,450.9,175.3,275.6,20.2,8064.3,2768.2,5296.1,2783.8,False
河南,Henan,224.5,26.8,197.7,12.1,4573.6,656.8,3916.9,2329.9,False
湖北,Hubei,269.4,2.5,266.9,6.5,3779.3,2150.3,1629.0,325.6,False
湖南,Hunan,209.6,17.3,192.3,5.6,2083.0,503.4,1579.6,351.7,False
广东,Guangdong,563.7,68.6,495.2,25.4,4679.3,1441.8,3237.5,367.7,False
广西,Guangxi,263.9,47.6,216.3,0.8,2316.1,1135.3,1180.9,22.5,False
海南,Hainan,35.2,22.9,12.3,0.2,776.0,495.4,280.6,25.8,False
重庆,Chongqing,42.9,8.3,34.6,0.2,352.7,115.5,237.2,6.6,False
四川,Sichuan,152.7,57.2,95.4,2.0,1235.0,946.5,288.5,25.9,False
贵州,Guizhou,120.6,93.7,26.9,0.3,2106.2,1969.7,136.5,3.0,False
云南,Yunnan,516.9,482.8,34.1,1.4,4239.9,3915.8,324.1,36.2,False
西藏,Tibet,83.6,83.6,0.0,0.0,497.4,492.0,5.4,0.0,False
陕西,Shaanxi,128.2,39.7,88.5,17.1,3561.1,2563.5,997.5,452.5,False
甘肃,Gansu,75.6,55.0,20.6,3.0,3214.4,3009.9,204.5,52.0,False
青海,Qinghai,29.4,26.7,2.7,0.5,3671.5,3630.9,40.6,5.4,False
宁夏,Ningxia,145.7,130.0,15.7,1.3,2769.7,2579.3,190.4,18.7,False
新疆,Xinjiang,323.5,321.8,1.7,0.1,5993.2,5964.7,28.5,3.9,False
