period,comparison_status,n_rows,max_abs_diff_gw,mean_abs_diff_gw
201612,missing_scraped,102,,
201706,different,88,66.96000000000001,2.0777272727272726
201706,match,8,0.01,0.0062499999999999735
201706,missing_reference,36,,
201706,missing_scraped,6,,
201712,missing_scraped,102,,
201806,missing_scraped,102,,
201809,missing_scraped,102,,
201812,missing_scraped,102,,
201903,match,64,0.0,0.0
201903,missing_reference,2,,
201903,missing_scraped,38,,
201906,match,58,0.0,0.0
201906,missing_reference,2,,
201906,missing_scraped,44,,
201909,missing_scraped,102,,
201912,missing_scraped,103,,
202003,missing_scraped,103,,
202006,missing_scraped,103,,
202012,missing_scraped,81,,
202103,missing_scraped,103,,
202106,missing_scraped,103,,
202109,match,99,5.684341886080802e-14,7.926109263872212e-16
202109,missing_scraped,4,,
202112,missing_scraped,134,,
202203,missing_scraped,134,,
202206,missing_scraped,134,,
202209,missing_scraped,134,,
202212,missing_scraped,135,,
202303,missing_scraped,135,,
202306,match,132,5.684341886080802e-14,9.902905515814873e-16
202306,missing_scraped,4,,
202309,match,104,1.4210854715202004e-14,4.0419056990259605e-16
202309,missing_scraped,30,,
202312,match,104,1.4210854715202004e-14,6.02182566631872e-16
202312,missing_scraped,30,,
202403,different,4,657.12,359.71
202403,missing_scraped,130,,
202406,different,4,710.05,443.155
202406,missing_scraped,130,,
202409,match,128,7.105427357601002e-15,4.066842348993127e-16
202409,missing_reference,1,,
202409,missing_scraped,4,,
202412,match,129,7.105427357601002e-15,5.058668815449265e-16
202412,missing_scraped,4,,
202503,different,1,0.064,0.064
202503,match,127,0.008000000000000007,7.086614173291109e-05
202503,missing_scraped,8,,
202506,match,128,7.105427357601002e-15,6.575144075038342e-16
202506,missing_scraped,8,,
202509,match,128,7.105427357601002e-15,5.759824041329242e-16
202509,missing_scraped,8,,
202512,match,128,1.4210854715202004e-14,9.636388909051163e-16
202512,missing_scraped,8,,
