sep=;
state;date;variable;generation_gwh
India Total;2019-01-01;Bioenergy;2582
India Total;2019-01-01;Clean;19914.91
India Total;2019-01-01;Coal;86375.09
India Total;2019-01-01;Fossil;90353.52
India Total;2019-01-01;Gas;3971.55
India Total;2019-01-01;Hydro;7790.99
India Total;2019-01-01;Nuclear;3120.11
India Total;2019-01-01;Other Fossil;6.88
India Total;2019-01-01;Other Renewables;35.11
India Total;2019-01-01;Renewables;16794.8
India Total;2019-01-01;Solar;3534.81
India Total;2019-01-01;Wind;2851.89
India Total;2019-01-01;Wind and solar;6386.7
India Total;2019-02-01;Bioenergy;2186.5
India Total;2019-02-01;Clean;19338.23
India Total;2019-02-01;Coal;78298.38
India Total;2019-02-01;Fossil;81500.42
India Total;2019-02-01;Gas;3194.95
India Total;2019-02-01;Hydro;7506.94
India Total;2019-02-01;Nuclear;2878.99
India Total;2019-02-01;Other Fossil;7.09
India Total;2019-02-01;Other Renewables;40.87
India Total;2019-02-01;Renewables;16459.24
India Total;2019-02-01;Solar;3630.46
India Total;2019-02-01;Wind;3094.47
India Total;2019-02-01;Wind and solar;6724.93
India Total;2019-03-01;Bioenergy;2070.17
India Total;2019-03-01;Clean;21887.24
India Total;2019-03-01;Coal;91481.45
India Total;2019-03-01;Fossil;95223.98
India Total;2019-03-01;Gas;3732.91
India Total;2019-03-01;Hydro;9156.48
India Total;2019-03-01;Nuclear;3355.95
India Total;2019-03-01;Other Fossil;9.62
India Total;2019-03-01;Other Renewables;30.7
India Total;2019-03-01;Renewables;18531.29
India Total;2019-03-01;Solar;4307.99
India Total;2019-03-01;Wind;2965.95
India Total;2019-03-01;Wind and solar;7273.94
India Total;2019-04-01;Bioenergy;1436.3
India Total;2019-04-01;Clean;24238.63
India Total;2019-04-01;Coal;90446.02
India Total;2019-04-01;Fossil;94666.84
India Total;2019-04-01;Gas;4206.71
India Total;2019-04-01;Hydro;11587.73
India Total;2019-04-01;Nuclear;3287.32
India Total;2019-04-01;Other Fossil;14.11
India Total;2019-04-01;Other Renewables;38.77
India Total;2019-04-01;Renewables;20951.31
India Total;2019-04-01;Solar;4181.22
India Total;2019-04-01;Wind;3707.29
India Total;2019-04-01;Wind and solar;7888.51
India Total;2019-05-01;Bioenergy;861.81
India Total;2019-05-01;Clean;30290.01
India Total;2019-05-01;Coal;94375.57
India Total;2019-05-01;Fossil;98842.21
India Total;2019-05-01;Gas;4451.92
India Total;2019-05-01;Hydro;14670.01
India Total;2019-05-01;Nuclear;3782.3
India Total;2019-05-01;Other Fossil;14.72
India Total;2019-05-01;Other Renewables;29.37
India Total;2019-05-01;Renewables;26507.71
India Total;2019-05-01;Solar;4342.58
India Total;2019-05-01;Wind;6603.94
India Total;2019-05-01;Wind and solar;10946.52
India Total;2019-06-01;Bioenergy;516.04
India Total;2019-06-01;Clean;32325.76
India Total;2019-06-01;Coal;89885.26
India Total;2019-06-01;Fossil;94220.74
India Total;2019-06-01;Gas;4328.38
India Total;2019-06-01;Hydro;15006.73
India Total;2019-06-01;Nuclear;4052.02
India Total;2019-06-01;Other Fossil;7.1
India Total;2019-06-01;Other Renewables;38.23
India Total;2019-06-01;Renewables;28273.74
India Total;2019-06-01;Solar;3931.59
India Total;2019-06-01;Wind;8781.15
India Total;2019-06-01;Wind and solar;12712.74
India Total;2019-07-01;Bioenergy;506.57
India Total;2019-07-01;Clean;36336.41
India Total;2019-07-01;Coal;83204.33
India Total;2019-07-01;Fossil;87371.93
India Total;2019-07-01;Gas;4159.71
India Total;2019-07-01;Hydro;16636.12
India Total;2019-07-01;Nuclear;4382.27
India Total;2019-07-01;Other Fossil;7.89
India Total;2019-07-01;Other Renewables;29.03
India Total;2019-07-01;Renewables;31954.14
India Total;2019-07-01;Solar;3438.82
India Total;2019-07-01;Wind;11343.6
India Total;2019-07-01;Wind and solar;14782.42
India Total;2019-08-01;Bioenergy;485.42
India Total;2019-08-01;Clean;39153.16
India Total;2019-08-01;Coal;76827.46
India Total;2019-08-01;Fossil;80782.13
India Total;2019-08-01;Gas;3947.63
India Total;2019-08-01;Hydro;21048.86
India Total;2019-08-01;Nuclear;4302.32
India Total;2019-08-01;Other Fossil;7.04
India Total;2019-08-01;Other Renewables;25.09
India Total;2019-08-01;Renewables;34850.84
India Total;2019-08-01;Solar;3587.46
India Total;2019-08-01;Wind;9704.01
India Total;2019-08-01;Wind and solar;13291.47
