source_url,date,raw_row_text,s_no_raw,s_no,state_guess,n_values_found,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20
https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2025/11/20251110348956410.pdf,2025-10-31,1 Andhra Pradesh 163.31 4397.78 378.10 113.57 53.16 49.19 594.02 5142.97 694.3 88.34 5925.61 3290.00 14370.72,1,1,Andhra Pradesh,13,163.31,4397.78,378.1,113.57,53.16,49.19,594.02,5142.97,694.3,88.34,5925.61,3290.0,14370.72,,,,,,,
https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2025/11/20251110348956410.pdf,2025-10-31,2 Arunachal Pradesh 140.61 0.00 1.27 6.68 7.47 15.42 1115.00 1271.03,2,2,Arunachal Pradesh,8,140.61,0.0,1.27,6.68,7.47,15.42,1115.0,1271.03,,,,,,,,,,,,
https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2025/11/20251110348956410.pdf,2025-10-31,3 Assam 34.11 2.00 2.00 126 184.1 9.71 319.81 350.00 705.92,3,3,Assam,9,34.11,2.0,2.0,126.0,184.1,9.71,319.81,350.0,705.92,,,,,,,,,,,
https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2025/11/20251110348956410.pdf,2025-10-31,4 Bihar 70.70 112.50 26.40 1.32 140.22 196.06 193.8 21.28 411.14 622.06,4,4,Bihar,10,70.7,112.5,26.4,1.32,140.22,196.06,193.8,21.28,411.14,622.06,,,,,,,,,,
https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2025/11/20251110348956410.pdf,2025-10-31,5 Chhattisgarh 100.90 272.09 2.50 10.83 285.42 1063.33 167.6 390.73 1621.66 120.00 2127.98,5,5,Chhattisgarh,11,100.9,272.09,2.5,10.83,285.42,1063.33,167.6,390.73,1621.66,120.0,2127.98,,,,,,,,,
https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2025/11/20251110348956410.pdf,2025-10-31,6 Goa 0.05 1.94 1.94 5.95 62.1 1.49 69.54 71.53,6,6,Goa,8,0.05,1.94,1.94,5.95,62.1,1.49,69.54,71.53,,,,,,,,,,,,
https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2025/11/20251110348956410.pdf,2025-10-31,7 Gujarat 113.30 14493.38 65.30 12.00 7.50 45.05 129.85 16649.19 6185.3 1135.66 173.01 24143.16 1990.00 40869.69,7,7,Gujarat,14,113.3,14493.38,65.3,12.0,7.5,45.05,129.85,16649.19,6185.3,1135.66,173.01,24143.16,1990.0,40869.69,,,,,,
https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2025/11/20251110348956410.pdf,2025-10-31,8 Haryana 73.50 151.40 125.46 11.20 37.61 325.67 267.76 1061.6 1105.04 2434.40 2833.57,8,8,Haryana,11,73.5,151.4,125.46,11.2,37.61,325.67,267.76,1061.6,1105.04,2434.4,2833.57,,,,,,,,,
https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2025/11/20251110348956410.pdf,2025-10-31,9 Himachal Pradesh 1000.71 9.20 1.00 10.20 209 66.7 34.58 310.28 11421.02 12742.21,9,9,Himachal Pradesh,10,1000.71,9.2,1.0,10.2,209.0,66.7,34.58,310.28,11421.02,12742.21,,,,,,,,,,
https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2025/11/20251110348956410.pdf,2025-10-31,10 Jammu & Kashmir 189.93 0.00 2.49 42.2 34.72 79.41 3360.00 3629.34,10,10,Jammu & Kashmir,8,189.93,0.0,2.49,42.2,34.72,79.41,3360.0,3629.34,,,,,,,,,,,,
