Parameter,State,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10
Coal - Generation (in MU),Uttar Pradesh,8083.49,9062.82,8782.47,8698.76,8483,8960.77,8689.56,7841.09,8050,8829.15,8210.63,8758.8,9362.84,9379.3,9456.41,9086.12,8509.61,9823.83,9867.54,9457.18,9804.65,9912.36,8477.98,9677.21,9935.38,10981.52,10504.68,9791.76,10256.98,10184.33,10841.04,9476.17,9972.86,10479.38,9091.42,9877.2,9825.78,10756.17,10655.68,9959.28,9602.6,9604.06,10698.9,9306.01,9338,9580.54,7910.67,8989.99,9802.92,11823.52,11309.02,10415.17,10894.67,9796.25,9677.96,8548.26,8610.61,9599.85,8611.88,7928.8,8155.79,9059.39,9757,11052.86,10579.24,11011.61,10436.46,8314.65,9683.13,10548.31,9611.66,11382.87,11382.51,10119.49,10788.41,11659.32,12100.97,11497.24,10646.46,8943.38,10299.33,10981.44,10441.35,11839.03,14025.05,13561.05,13494.47,13496.05,13452.28,12445.83,11188.06,10932.7,12233.89,13129.62,11208.64,11987.34,12420.11,12796.12,13318.91,13461.28,14266.41,13657.59,12720.37,11242.8,11708.12,12814.55,11281.97,12816.97,13853.38,15181.78,14668.41,14708.75,13442.24,12415.46,14047.42,11359.39,12180.52,12924.97,12114.29,14440.69,14409.45,14682.23,14312.17,14503.1,13620.02,13207.29,12242.06
Oil & Gas - Generation (in MU),Uttar Pradesh,341.69,355.32,366.25,229.28,378.88,264.66,430.91,496.5,577.41,305.04,523.82,241.55,358.91,261.21,190.11,261,301.32,262.76,272.91,243.93,198.52,129.43,118.06,174.47,152.22,252.53,187.65,133.97,113.71,271.53,336.58,132.53,148.15,82.76,104.3,88.85,110.82,199.01,125.68,125.29,108.44,270.16,499.41,191.65,169.34,50.77,168.29,187.61,189.94,266.26,391.12,55.5,205.34,213.08,216.17,118.21,39.59,154.98,235.42,210.93,304.09,346.59,422.28,205.83,278.05,337.21,164.76,96.04,123.97,113.49,32.34,46.1,174.05,50.23,126.79,177.53,97.38,197.12,256.27,8.86,-,0.01,2.53,57.72,120.8,148.55,304.99,50.97,32.35,36.64,38.68,50.12,59.97,39.76,6.85,18.55,43.43,88.17,243.45,284.24,417.52,170.16,219.55,38.93,49.41,54.5,10.16,-,207.16,321.63,280.47,54.06,97.53,110.24,54.75,22.62,50.49,28.03,17.68,2.9,129.82,104.24,135,75.14,45,103.9,27.28
Nuclear - Generation (in MU),Uttar Pradesh,287.89,313.98,302.12,306.8,307.44,267.97,238.54,232.61,197.82,334.57,312.4,330.46,312.45,275.21,206.96,315.45,307.97,140.82,191.12,316.07,338.1,339.73,303.92,331.09,282.56,291.15,287.09,297.36,298.76,250.73,321.39,320.62,335.8,338.2,301.25,311.47,185.69,207.21,259.9,311.41,297.33,292.68,321.65,318.34,319.09,168.15,167.72,312.72,310.6,315.78,302,311.82,309.76,302.76,319.09,316.5,335.68,335.33,309.49,322.46,268.34,293.13,293.37,301.58,301.41,292.35,313.15,312.13,289.97,80.73,218.81,319.85,296.25,301.37,295.64,297.61,211.67,294.38,303.16,304.94,329.61,331.97,296.38,317.26,247.36,122.06,134.37,289.39,267.17,261.69,300.22,308.06,326.8,329.92,290.04,315.54,301.5,284.54,292.2,302.19,277.23,294.79,268.67,30.57,1.92,182.5,310.92,327.6,309.66,311.72,293.49,309.2,310.19,300.19,317.82,315.06,332.5,336.39,288.15,205.11,224.88,154.84,142.47,159.12,159.07,153.6,219.12
Hydro - Generation (in MU),Uttar Pradesh,103.82,61.19,74.34,136.62,168.34,108.22,77.93,45.62,37.23,54.02,33.96,33.79,37.7,47.01,56.13,63.44,137.68,204.94,160.62,95.99,128.15,102.04,81.81,60.05,66.29,101.15,132.99,165.31,165.98,173.13,165.17,66.54,115.28,133.87,112.4,86.73,29.67,55.96,42.29,61.81,71.04,146.34,192.94,89.04,123.72,145.56,128.99,89,65.55,44,44.09,105,68.27,80.44,110.41,46.14,130.39,145.88,127.41,105.9,80.12,116.74,158.87,177.13,194.97,196,173.67,75.02,101.02,128.88,93.69,76.24,55.32,87.01,130.81,101.87,152.78,151.39,164.8,85.82,121.1,121.07,124.07,106.64,68.84,50.53,75.1,60.43,102.96,96.4,91.67,42.09,108.78,129.78,90.72,56.73,25.03,28.91,98.1,126.55,121.71,108.22,98.47,32.42,27.42,81.22,67.52,35.07,17.58,40.44,44.84,75.98,148.61,278.34,235.58,50.87,38.71,128.92,122.91,90.96,41.88,74.94,137.07,211.22,293.93,314.46,252.4
Solar - Generation (in MU),Uttar Pradesh,6.82,8.72,6.51,6.98,10.59,8.07,9.69,8.33,12.4,12.86,16.1,19.07,18.99,18.93,16.62,11.61,10.98,15.62,31.91,26.47,19.96,27.09,30.13,38.97,44.66,43.72,40.59,30.45,41.75,54.56,65.5,59.86,57.92,71.8,67.1,102.21,106.41,112.02,99.69,81.85,79.94,98.81,120.34,101.6,103.17,98,104.13,137.64,123.89,145.87,131.06,107.48,107.02,93.17,115.22,108.9,93.35,118.16,149.28,153.67,154.69,169.45,127.57,130.02,123.35,134.65,148.13,134.61,128.05,133.05,214.8,257.81,267.46,259.5,195.61,217.26,216.68,232.72,276.35,215.16,202.55,190.88,277.87,348.38,332.97,331.02,307.57,293.09,276.99,273.12,305.79,291.58,285.47,248.38,354.58,373.45,376.83,414.58,357.4,313.04,304.35,309.84,368.24,267.04,255.67,205.22,340.29,458.82,466.01,476.76,422.6,368.01,376.64,360.95,420.87,351.86,356.36,353.8,447.37,564.83,528.98,516.55,431.29,394.96,375.31,421.21,385.87
Wind - Generation (in MU),Uttar Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Small-Hydro - Generation (in MU),Uttar Pradesh,2.3,2.3,1.83,1.76,2.79,4.58,2.18,0.99,2.18,3.12,2.89,2.81,3.44,2.84,1.79,1.41,2.51,2.49,1.5,0.67,2.3,3.11,2.71,3.06,2.58,4.84,2.41,1.85,2.26,1.79,1.09,2.96,2.73,2.53,2.51,2.64,3.83,3.79,3.78,3.28,3.19,1.12,0.75,0.88,1.9,2.43,2.12,4.24,3.15,5.49,3.33,3.31,0.73,1.71,0.37,1.41,2.75,4.71,4.71,4.39,2.37,11.1,6.92,6.07,11.37,22.33,22.16,9.62,16.46,17.43,28.5,10.59,5.72,6.11,5.72,11.31,19.4,26.92,18.79,10.7,9.73,7.39,19.41,21.34,7.89,21.43,5.53,14.74,28.97,31.31,23.76,11.06,27.91,22.55,24.91,14.64,7.4,13.36,4.81,9.53,15.99,22.23,22.6,9.33,20.8,15.68,21.8,11.73,3.22,14.37,3.82,5.76,28.13,25.46,11.03,16.5,10.33,25.03,21.78,13.56,0.3,8.13,4.32,11.54,13.51,12.6,-
Bio Power - Generation (in MU),Uttar Pradesh,315.5,134.9,97.03,57.46,46.31,55.46,56.28,126.34,572.03,591.16,563.91,465.64,195.12,89.21,67.73,43.73,27.11,40.73,63.71,387.32,647.27,647.83,591.24,593.52,401.54,153.8,87.6,17.69,26.6,48.67,92.05,486.81,669.39,680.93,617.76,678.05,598.79,416.99,180.81,86.39,12.66,25.17,64.07,392.82,692.1,684.85,613.73,660.08,541.03,270.97,90.46,31.03,10.35,9.06,22.74,350.2,610.45,595.87,575.16,552.42,552.42,287.75,47.6,52.66,18.76,27.93,48.67,391.28,602.1,595.87,556.2,545.55,395.63,171.27,21.51,13.91,12.25,11.93,12.56,349.77,672.77,564.52,481.38,558.5,413.34,154.23,29.17,26.96,28.01,9.33,18.02,368.09,560.4,637.44,523.93,539.55,391.02,179.33,37.16,29.49,20.11,19.35,16.09,379.79,514.98,538.74,481.08,447.93,219.71,45.02,25.66,13.54,11.41,4.39,25.42,351.29,498.37,518.27,459.31,391.33,167.63,52.7,27.71,26.33,18.21,8.64,-
Coal - Generation (in MU),Chhattisgarh,6039.28,6619.18,6092.59,6755.13,7198.05,7327.43,7990.18,7461.98,8219.93,8354.91,7919.53,9211.8,9395.33,8755.6,8483.62,7888.89,7939.12,8568.02,8228.02,8389.32,8886.21,9578.07,9127.1,10293.12,10116.04,9309.21,9355.33,9233.69,8596.85,8719.82,9109.97,8722.96,8855.92,10091.64,8601.99,9156.28,9909.27,11004.5,9590.56,9457.6,9596.65,9276.93,10530.19,9846.16,9215.04,8304.13,8699.7,10040.52,10173.28,10341.28,10153.26,10378.75,9412.63,7804.07,8397.69,9517.01,10412.65,10834.47,9930.17,10637.01,8987.79,11100.18,10387.56,11194.84,11197.4,11348.8,11413.21,11433.82,12215.63,12014.48,10831.5,12489.28,13334.09,12087.94,11544.23,11878.24,12312.29,9712.2,10694.99,10201.51,12048.2,11896.77,11510.9,13649.5,12258.34,11666.66,11332.83,10747.24,10137.08,10725.46,10767.6,11687.02,12875.49,13540.39,12639.16,14221.93,13945.02,14207.57,13289.86,12902.02,12594.03,12924.09,14235.59,12625.07,13388.07,14579.78,13408.65,14288.88,14526.52,15328.61,14390.29,13404.4,12157.15,12055.16,13343.74,12664.08,14334.96,15209.52,14150.18,14866.77,14166.8,14043.83,14130.52,13525.52,13317.33,12470.76,13303.53
Oil & Gas - Generation (in MU),Chhattisgarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
