Parameter,State,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Coal - Generation (in MU),Andaman and Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,,
Oil & Gas - Generation (in MU),Andaman and Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,,
Hydro - Generation (in MU),Andaman and Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,,
Solar - Generation (in MU),Andaman and Nicobar Islands,2.87,2.97,3.56,3.07,2.09,1.67,1.82,1.77,1.62,2.03,2.03,2.03,2.2341403434943845,2.4613565827434134,3.454583165788386,2.2606100225264467,2.1647906622269897,1.795307717495701,2.174387933870172,2.325890711509011,2.2489622170199968,2.212347213301677,2.548458244313844,2.5863548508702325
Wind - Generation (in MU),Andaman and Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,,
Small-Hydro - Generation (in MU),Andaman and Nicobar Islands,0.89,0.87,0.93,0.82,0.13,1.12,1.78,1.88,1.74,1.78,1.78,1.78,0.56,0.5,0.53,0.6,1.15,1.63,1.81,1.81,1.86,1.86,0.6,0.6
Bio Power - Generation (in MU),Andaman and Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,,
Coal - Generation (in MU),Andhra Pradesh,6113.39,5987.62,6679.14,6865.6,6846.62,6145.89,5128.43,5490.16,5395.4,6025.37,5616.11,5365.5,6218.36,6495.51,7239.99,6819.97,6264.54,5889.23,5784.76,6142.11,5914.85,5383.9,5406.45,6063.64
Oil & Gas - Generation (in MU),Andhra Pradesh,,,2.41,11.88,19.09,,,,,,3.07,,,,,42.7,27.83,50.09,40.58,76.72,73.57,,,
Hydro - Generation (in MU),Andhra Pradesh,133.95,36.16,90.58,153.12,100.51,87.54,222.63,603.02,538.22,585.92,222.76,170.67,194.02,189.02,235.64,164.66,125.36,310.96,901.82,890.87,857.61,697.22,463.46,323.51
Solar - Generation (in MU),Andhra Pradesh,693.16,823.87,792.1,791.54,738.3,621.11,580.95,614.75,629.47,618.85,559.41,514.99,755.3994176610001,800.642496868588,899.9251978347755,887.9355462034755,753.7214892387148,760.7048491105558,667.0882109940114,711.2795476498999,693.4513259484979,688.5972720594073,746.2396301879392,846.4301223127464
Wind - Generation (in MU),Andhra Pradesh,481.89,479.38,425.21,422.73,613.32,1078.07,1078.07,1057.59,1048.53,206.84,224.14,299.4,425.99,394.65,385.71,385.71,988.89,820.1,1784.38,1301.76,1086.71,537.62,347.81,383.16
Small-Hydro - Generation (in MU),Andhra Pradesh,15.12,9.08,6.93,4.88,0.07,0.6,0.6,21.64,31.85,38.66,43.48,40.61,47.7,39.55,24.72,24.72,14.32,14.32,20.71,35.24,44.47,44.48,45.85,53.37
Bio Power - Generation (in MU),Andhra Pradesh,37.41,40.27,39.04,30.48,30.31,27.76,27.76,31.58,28.83,30.86,34.05,32.96,37.29,32.27,35.2,35.2,32.11,32.11,29.08,35.91,35.19,35.16,38.43,45.44
Coal - Generation (in MU),Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,
Oil & Gas - Generation (in MU),Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,
Hydro - Generation (in MU),Arunachal Pradesh,148.59,149.86,226.75,237.33,328.94,523.54,603.44,516.74,439.98,569.0,329.05,222.17,142.37,108.59,184.01,198.78,377.72,510.22,600.89,675.52,576.43,429.97,285.74,195.44
Solar - Generation (in MU),Arunachal Pradesh,0.13,0.09,0.08,0.09,0.1,0.06,0.06,0.08,0.12,0.12,0.12,0.12,1.5845732231797829,1.632679504867398,1.9152344426761907,2.251498787224105,2.9752705912105064,2.109008761865641,2.0109179117473484,2.0470647308281293,2.382843022115272,2.2677100578051372,2.2511624170805353,2.3316713998247662
Wind - Generation (in MU),Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,
Small-Hydro - Generation (in MU),Arunachal Pradesh,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.03,0.03,0.03,0.03
Bio Power - Generation (in MU),Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,
Coal - Generation (in MU),Assam,399.79,288.82,438.95,464.06,407.14,403.26,445.98,411.27,435.58,452.58,349.72,314.38,399.67,397.89,305.67,341.96,358.82,381.79,397.17,382.29,358.92,344.61,359.72,392.83
Oil & Gas - Generation (in MU),Assam,279.2,265.82,288.67,299.22,302.51,289.89,278.98,261.35,261.78,272.04,277.84,311.88,301.01,265.69,285.8,281.09,255.26,230.85,243.53,223.65,225.68,226.79,241.31,250.52
Hydro - Generation (in MU),Assam,39.85,20.03,36.3,26.11,94.73,139.27,129.52,119.1,110.5,113.34,64.88,45.02,47.92,54.24,54.12,42.41,78.7,146.07,162.78,196.56,233.26,235.77,105.4,104.58
Solar - Generation (in MU),Assam,26.47,23.71,27.66,28.6,27.27,20.62,25.91,25.73,27.86,19.57,26.76,26.76,31.617156210943854,31.009628744690957,37.05545195775983,38.00960274587108,38.35766139347485,41.97429220304229,43.61953665422929,51.838633231240415,55.29585451787139,56.81982942072182,66.08999997548317,67.50990116656368
Wind - Generation (in MU),Assam,,,,,,,,,,,,,,,,,,,,,,,,
Small-Hydro - Generation (in MU),Assam,2.54,2.36,2.72,13.38,20.75,23.51,32.72,24.51,18.39,24.24,14.4,14.4,15.24,,7.0,12.51,1.61,20.45,20.93,20.41,19.86,15.51,6.66,7.32
Bio Power - Generation (in MU),Assam,0.15,0.1,0.11,0.04,0.07,0.04,,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.12,0.02,0.02,0.02,0.02,0.06,0.06
Total,Andaman and Nicobar Islands,3.76,3.84,4.49,3.89,2.22,2.79,3.6,3.65,3.36,3.81,3.81,3.81,2.27,2.42,3.36,2.13,2.48,2.63,3.18,3.26,3.11,3.11,2.15,2.15
Total,Andhra Pradesh,7474.92,7376.38,8035.41,8280.23,8348.22,7960.97,7038.44,7818.74,7672.3,7506.5,6703.02,6424.13,7637.87,7909.41,8772.46,8299.84,8142.62,7805.96,9157.58,9092.94,8586.32,7268.74,6927.76,7587.53
Total,Arunachal Pradesh,148.77,150.0,226.88,237.47,329.09,523.65,603.55,516.87,440.15,569.17,329.22,222.34,142.54,108.76,184.22,199.03,378.7,510.44,601.08,675.71,576.59,430.13,285.9,195.6
Total,Assam,748.0,600.84,794.41,831.41,852.47,876.59,913.11,841.99,854.13,881.79,733.62,712.46,788.7,741.45,680.59,703.01,717.06,804.5,851.97,850.47,865.28,850.24,741.83,783.99
Coal - Generation (in MU),Bihar,4586.23,5183.23,5325.28,5451.22,5359.18,5363.64,4828.55,4703.03,4786.03,5465.86,4891.91,4632.13,4607.3,4992.69,5676.21,5178.57,4830.37,4657.79,4759.81,4713.09,4837.78,4582.38,4833.2,4973.49
Hydro - Generation (in MU),Bihar,,,,,,,,,,,,,,,,,,,,,,,,
Solar - Generation (in MU),Bihar,15.9,15.9,22.73,22.28,24.08,31.64,28.72,28.48,28.17,25.16,24.7,25.39,39.11742772756187,39.81332822610748,52.099971434256744,50.925821765390616,51.86515418301368,44.767487409395216,50.40321240490572,54.105705619036385,65.55743120201929,57.62319287863809,60.46875392794851,58.49825917784545
Wind - Generation (in MU),Bihar,,,,,,,,,,,,,,,,,,,,,,,,
Small-Hydro - Generation (in MU),Bihar,0.13,0.13,0.13,,,,3.42,4.26,4.21,,0.03,,,,2.61,2.61,0.76,0.54,0.8,3.16,3.81,2.39,2.39,
Bio Power - Generation (in MU),Bihar,24.57,24.57,19.11,1.65,,,,,,1.62,2.7,27.73,29.25,29.25,12.48,1.16,,,,,,,,22.74
Coal - Generation (in MU),Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,
Hydro - Generation (in MU),Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,
Solar - Generation (in MU),Chandigarh,0.45,0.63,0.63,1.02,1.07,0.85,0.68,1.27,0.6,1.0,0.44,0.66,8.220044507567456,8.476906546239695,9.7186266154971,11.300521138558162,11.527265873981872,11.013278742479942,10.566315005949944,10.959319855106605,12.38259176333652,11.784442140738555,11.274303942308372,11.936280395292435
Wind - Generation (in MU),Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,
Small-Hydro - Generation (in MU),Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,
Bio Power - Generation (in MU),Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,
Coal - Generation (in MU),Chhattisgarh,14579.78,13408.65,14288.88,14526.52,15328.61,14390.29,13404.4,12157.15,12055.16,13343.74,12664.08,14334.96,15209.52,14150.18,14866.77,14166.8,14043.83,14130.52,13525.52,13317.33,12470.76,13301.41,12790.57,14479.6
Hydro - Generation (in MU),Chhattisgarh,16.99,21.56,25.28,40.89,8.68,4.09,21.28,39.35,84.33,77.61,6.77,3.72,37.04,48.51,47.15,34.29,3.78,2.95,2.5,54.57,86.3,74.78,4.15,3.91
Solar - Generation (in MU),Chhattisgarh,78.92,111.53,131.0,136.83,153.53,122.75,86.79,98.3,121.23,127.78,114.47,123.88,182.35222825202837,209.56682192633264,219.02720419221583,238.7545206833537,227.57606329894622,216.62509385187914,165.47751504819618,170.4686180645541,240.30084160966746,211.89965770843412,253.89858943744355,273.16082517037137
Wind - Generation (in MU),Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,
Small-Hydro - Generation (in MU),Chhattisgarh,4.87,4.79,1.7,0.68,2.45,1.98,13.54,32.38,30.54,27.95,10.37,5.44,4.94,4.43,4.64,5.17,7.1,12.39,37.72,37.72,53.96,41.93,21.02,11.12
Bio Power - Generation (in MU),Chhattisgarh,129.44,103.76,107.79,93.68,125.6,109.51,134.62,134.16,119.69,134.18,134.37,156.13,140.28,134.05,147.05,107.31,138.03,124.01,124.68,124.68,108.2,122.6,125.53,131.29
Coal - Generation (in MU),Dadra and Nagar Haveli and Daman and Diu,,,,,,,,,,,,,,,,,,,,,,,,
Hydro - Generation (in MU),Dadra and Nagar Haveli and Daman and Diu,,,,,,,,,,,,,,,,,,,,,,,,
Solar - Generation (in MU),Dadra and Nagar Haveli and Daman and Diu,1.39,1.49,1.76,1.79,1.69,1.25,0.7,0.94,1.14,1.23,1.23,1.37,5.017412843000018,5.347218030531326,5.926379149580911,6.664203901614082,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69
Wind - Generation (in MU),Dadra and Nagar Haveli and Daman and Diu,,,,,,,,,,,,,,,,,,,,,,,,
Small-Hydro - Generation (in MU),Dadra and Nagar Haveli and Daman and Diu,,,,,,,,,,,,,,,,,,,,,,,,
Bio Power - Generation (in MU),Dadra and Nagar Haveli and Daman and Diu,1.04,1.14,1.22,0.89,1.05,1.04,0.66,1.17,1.13,1.12,1.12,1.19,1.19,1.1,1.1,1.1,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Total,Bihar,4626.83,5223.83,5367.25,5475.15,5383.26,5395.28,4860.69,4735.77,4818.41,5492.64,4919.34,4685.25,4662.62,5048.01,5726.4,5213.38,4863.17,4684.21,4781.54,4740.31,4872.88,4609.9,4860.24,5017.55
Total,Chandigarh,0.45,0.63,0.63,1.02,1.07,0.85,0.68,1.27,0.6,1.0,0.44,0.66,0.4,0.4,0.4,0.4,0.66,0.66,0.63,0.83,0.83,0.83,0.42,0.67
Total,Chhattisgarh,14810.0,13650.29,14554.65,14798.6,15618.87,14628.62,13660.63,12461.34,12410.95,13711.26,12930.06,14624.13,15520.41,14491.25,15220.62,14477.44,14345.66,14409.83,13782.32,13627.89,12871.84,13668.27,13111.59,14812.33
