name,unit,outage_status,capacity,day prog,day gen,month cumm prog,month cumm gen,coal stock,cap under outage,outage_day_time,expected_resync,remarks,datetime
RAJGHAT TPS,,,135.0,0.0,0.0,0.0,0.0,,135.0,,,,2019-08-14
RAJGHAT TPS,Unit 1,L,67.5,0.0,0.0,0.0,0.0,,67.5,42132.569444444445,,RSD/LOW SCHEDULE,2019-08-14
RAJGHAT TPS,Unit 2,L,67.5,0.0,0.0,0.0,0.0,,67.5,42145.430555555555,,RSD/LOW SCHEDULE,2019-08-14
I.P.CCPP,,,270.0,1.82,1.3299999999999998,237.48000000000005,234.82000000000002,,180.0,,,,2019-08-14
PRAGATI CCGT-III,,,1500.0,9.99,12.1,1356.8600000000006,1516.23,,500.0,,,,2019-08-14
PRAGATI CCPP,,,330.4,5.77,3.7800000000000002,785.7800000000002,639.4100000000001,,104.6,,,,2019-08-14
RITHALA CCPP,,,108.0,0.0,0.0,0.0,0.0,,108.0,,,,2019-08-14
PANIPAT TPS,,,920.0,5.710000000000001,0.0,784.9400000000005,1063.88,23.0,920.0,,,,2019-08-14
PANIPAT TPS,Unit 5,L,210.0,0.0,0.0,0.0,0.0,,210.0,43469.46805555555,,RSD/LOW SCHEDULE,2019-08-14
PANIPAT TPS,Unit 6,L,210.0,0.0,0.0,0.0,0.0,,210.0,43469.865277777775,,RSD/LOW SCHEDULE,2019-08-14
PANIPAT TPS,Unit 7,S,250.0,2.97,0.0,412.5800000000004,468.72,,250.0,43686.48055555556,,RSD/LOW SCHEDULE,2019-08-14
PANIPAT TPS,Unit 8,S,250.0,2.74,0.0,372.3600000000001,595.16,,250.0,43686.638194444444,,RSD/LOW SCHEDULE,2019-08-14
RAJIV GANDHI TPS,,,1200.0,14.9,0.0,2110.5999999999995,848.98,46.0,1200.0,,,,2019-08-14
RAJIV GANDHI TPS,Unit 1,L,600.0,8.06,0.0,1180.8399999999992,365.56,,600.0,43659.77013888889,,WATER WALL TUBE LEAKAGE,2019-08-14
RAJIV GANDHI TPS,Unit 2,L,600.0,6.84,0.0,929.7600000000004,483.42,,600.0,43661.67152777778,,RSD/LOW SCHEDULE,2019-08-14
YAMUNA NAGAR TPS,,,600.0,10.8,12.7,1054.2000000000003,1604.17,21.0,0.0,,,,2019-08-14
YAMUNA NAGAR TPS,Unit 1, ,300.0,4.61,6.41,676.5400000000002,870.92,,0.0,,,,2019-08-14
YAMUNA NAGAR TPS,Unit 2, ,300.0,6.19,6.29,377.65999999999997,733.25,,0.0,,,,2019-08-14
MAHATMA GANDHI TPS,,,1320.0,19.229999999999997,22.03,2413.2200000000003,2610.51,21.0,0.0,,,,2019-08-14
MAHATMA GANDHI TPS,Unit 1, ,660.0,9.29,10.98,1359.0599999999995,1392.46,,0.0,,,,2019-08-14
MAHATMA GANDHI TPS,Unit 2, ,660.0,9.94,11.05,1054.1600000000008,1218.05,,0.0,,,,2019-08-14
INDIRA GANDHI STPP,,,1500.0,20.22,7.09,2749.0800000000004,1362.48,22.0,1000.0,,,,2019-08-14
INDIRA GANDHI STPP,Unit 1,L,500.0,6.77,0.0,987.7799999999997,587.62,,500.0,43671.481944444444,,RESERVE SHUT DOWN / STANDBY UNIT,2019-08-14
INDIRA GANDHI STPP,Unit 2, ,500.0,6.48,7.09,948.7200000000003,512.23,,0.0,,,,2019-08-14
INDIRA GANDHI STPP,Unit 3,S,500.0,6.97,0.0,812.5800000000004,262.63,,500.0,43688.53958333333,,RESERVE SHUT DOWN / STANDBY UNIT,2019-08-14
FARIDABAD CCPP,,,431.59,1.1199999999999999,0.8999999999999999,151.68000000000006,75.38,,293.83,,,,2019-08-14
BASSI  HPS,,,66.0,1.48,1.35,173.71999999999986,190.64000000000001,,0.0,,,,2019-08-14
GIRI BATA HPS,,,60.0,1.1,1.03,74.39999999999995,63.42,,0.0,,,,2019-08-14
KASHANG INTEGRATED HEP,,,195.0,0.9,1.57,115.60000000000008,127.87,,65.0,,,,2019-08-14
LARJI  HPS,,,126.0,2.9,3.06,316.5999999999997,367.34,,0.0,,,,2019-08-14
SAINJ HPS,,,100.0,1.29,2.3200000000000003,232.0599999999999,234.42000000000002,,50.0,,,,2019-08-14
SANJAY  HPS,,,120.0,2.32,2.95,255.4799999999999,307.28999999999996,,0.0,,,,2019-08-14
SAWRA KUDDU HPS,,,0.0,0.87,0.0,12.179999999999996,0.0,,0.0,,,,2019-08-14
SHANAN  HPS,,,110.0,2.32,2.27,298.4799999999999,333.92,,0.0,,,,2019-08-14
UHL-III HPS,,,0.0,1.32,0.0,39.480000000000004,0.0,,0.0,,,,2019-08-14
ALLAIN DUHANGAN  HPS,,,192.0,4.1,5.52,450.4000000000003,472.94000000000005,,0.0,,,,2019-08-14
BASPA  HPS,,,300.0,7.32,7.93,711.4800000000007,753.75,,0.0,,,,2019-08-14
BUDHIL HPS,,,70.0,1.48,1.72,163.71999999999986,164.32999999999998,,0.0,,,,2019-08-14
CHANJU-I HPS ,,,36.0,0.81,0.95,85.34000000000003,100.22,,0.0,,,,2019-08-14
KARCHAM WANGTOO HPS,,,1000.0,22.81,26.57,2459.3399999999992,2641.64,,0.0,,,,2019-08-14
MALANA  HPS,,,86.0,2.26,2.5,200.63999999999987,210.94,,0.0,,,,2019-08-14
MALANA-II  HPS,,,100.0,2.19,2.77,214.65999999999997,236.55,,0.0,,,,2019-08-14
SORANG HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2019-08-14
TIDONG HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2019-08-14
BAIRA SIUL  HPS,,,180.0,1.29,1.29,132.06000000000003,84.09,,120.0,,,,2019-08-14
BHAKRA LEFT HPS,,,594.0,8.13,10.79,797.8199999999999,1114.6499999999999,,108.0,,,,2019-08-14
BHAKRA RIGHT HPS,,,785.0,10.81,16.56,1058.3399999999992,1504.7800000000002,,0.0,,,,2019-08-14
CHAMERA- I  HPS,,,540.0,11.71,12.98,1447.9400000000005,1563.66,,0.0,,,,2019-08-14
CHAMERA- II  HPS,,,300.0,6.97,2.38,879.5800000000004,875.5900000000001,,200.0,,,,2019-08-14
CHAMERA-III HPS,,,231.0,5.29,5.51,658.0599999999995,661.15,,0.0,,,,2019-08-14
DEHAR H P S,,,990.0,12.94,13.899999999999999,1530.1600000000008,1897.6,,0.0,,,,2019-08-14
KOLDAM,,,800.0,18.84,20.860000000000003,1852.7599999999989,1948.06,,0.0,,,,2019-08-14
NATHPA JHAKRI HPS,,,1500.0,34.19,38.620000000000005,3743.6600000000008,4153.0,,500.0,,,,2019-08-14
PARBATI-II HPS,,,0.0,1.13,0.0,91.81999999999994,0.0,,0.0,,,,2019-08-14
PARBATI-III HPS,,,520.0,4.9,6.97,408.5999999999997,407.13,,130.0,,,,2019-08-14
PONG H P S,,,396.0,4.03,4.539999999999999,323.4199999999996,447.90999999999997,,66.0,,,,2019-08-14
RAMPUR HPS,,,412.02000000000004,9.81,10.71,932.3399999999992,1157.12,,0.0,,,,2019-08-14
PAMPORE GPS (Liq.),,,175.0,0.0,0.0,0.0,0.0,,175.0,,,,2019-08-14
BAGLIHAR  HPS,,,450.0,9.94,10.8,1284.1600000000008,1209.06,,0.0,,,,2019-08-14
BAGLIHAR II  HPS,,,450.0,10.68,10.8,1058.5199999999998,1295.78,,150.0,,,,2019-08-14
LOWER JHELUM  HPS,,,105.0,1.77,0.61,288.77999999999975,230.57,,35.0,,,,2019-08-14
UPPER SINDH-II HPS,,,105.0,1.68,0.72,197.5200000000001,118.71000000000001,,0.0,,,,2019-08-14
CHUTAK HPS,,,44.0,0.1,0.74,15.399999999999995,34.910000000000004,,0.0,,,,2019-08-14
DULHASTI  HPS,,,390.0,8.58,7.8,1099.1199999999997,961.8299999999999,,0.0,,,,2019-08-14
KISHANGANGA HPS,,,330.0,4.84,2.7,763.7600000000004,517.84,,220.0,,,,2019-08-14
NIMMO BAZGO HPS,,,45.0,0.19,0.5700000000000001,26.660000000000018,46.879999999999995,,0.0,,,,2019-08-14
SALAL  HPS,,,690.0,14.94,17.27,1864.1600000000008,2168.74,,0.0,,,,2019-08-14
SEWA-II  HPS,,,120.0,1.97,2.64,278.5800000000003,325.55999999999995,,0.0,,,,2019-08-14
URI-I HPS,,,480.0,10.03,10.4,1543.4199999999996,1475.2,,0.0,,,,2019-08-14
URI-II HPS,,,240.0,4.42,5.49,649.8799999999994,742.6499999999999,,0.0,,,,2019-08-14
GH TPS (LEH.MOH.),,,920.0,8.6,8.690000000000001,1129.3999999999999,692.8399999999999,37.0,460.0,,,,2019-08-14
GH TPS (LEH.MOH.),Unit 1,S,210.0,2.19,4.07,296.65999999999997,139.11,,0.0,43691.96875,,RSD/LOW SCHEDULE,2019-08-14
GH TPS (LEH.MOH.),Unit 2,S,210.0,2.03,0.0,235.42000000000002,184.54,,210.0,43687.23333333333,,RSD/LOW SCHEDULE,2019-08-14
GH TPS (LEH.MOH.),Unit 3, ,250.0,2.19,4.62,298.65999999999997,253.0,,0.0,,,,2019-08-14
GH TPS (LEH.MOH.),Unit 4,L,250.0,2.19,0.0,298.65999999999997,116.19,,250.0,43669.28472222222,,WATER WALL TUBE LEAKAGE,2019-08-14
ROPAR TPS,,,840.0,8.989999999999998,11.959999999999999,1225.8600000000001,753.38,37.0,210.0,,,,2019-08-14
ROPAR TPS,Unit 3,S,210.0,2.19,3.94,298.65999999999997,175.41,,0.0,43691.979166666664,,RSD/LOW SCHEDULE,2019-08-14
ROPAR TPS,Unit 4, ,210.0,2.42,4.1,329.8800000000002,251.83,,0.0,,,,2019-08-14
ROPAR TPS,Unit 5,S,210.0,2.19,0.0,298.65999999999997,134.31,,210.0,43679.364583333336,,RSD/LOW SCHEDULE,2019-08-14
ROPAR TPS,Unit 6,S,210.0,2.19,3.92,298.65999999999997,191.83,,0.0,43691.967361111114,,RSD/LOW SCHEDULE,2019-08-14
ANANDPUR SAHIB-I HPS ,,,67.0,1.32,1.43,143.4799999999999,159.62,,33.5,,,,2019-08-14
ANANDPUR SAHIB-II HPS ,,,67.0,1.29,1.43,142.05999999999995,155.9,,0.0,,,,2019-08-14
MUKERIAN-I HPS,,,45.0,0.77,3.73,57.780000000000044,205.34,,0.0,,,,2019-08-14
MUKERIAN-II HPS,,,45.0,0.77,0.0,57.780000000000044,43.75,,0.0,,,,2019-08-14
MUKERIAN-III HPS,,,58.5,1.1,0.0,81.39999999999992,55.21,,0.0,,,,2019-08-14
MUKERIAN-IV HPS,,,58.5,1.1,0.0,81.39999999999992,54.44,,0.0,,,,2019-08-14
RANJIT SAGAR  HPS,,,600.0,6.45,7.619999999999999,750.3000000000006,1022.54,,0.0,,,,2019-08-14
GOINDWAL SAHIB TPP,,,540.0,6.869999999999999,8.9,1008.18,777.0,39.0,0.0,,,,2019-08-14
GOINDWAL SAHIB TPP,Unit 1, ,270.0,3.55,4.45,518.7,408.1,,0.0,,,,2019-08-14
GOINDWAL SAHIB TPP,Unit 2, ,270.0,3.32,4.45,489.4799999999999,368.9,,0.0,,,,2019-08-14
RAJPURA TPP,,,1400.0,26.52,27.67,3737.2799999999997,3609.08,17.0,0.0,,,,2019-08-14
RAJPURA TPP,Unit 1, ,700.0,12.58,13.88,1842.119999999999,1939.62,,0.0,,,,2019-08-14
RAJPURA TPP,Unit 2, ,700.0,13.94,13.79,1895.1600000000008,1669.46,,0.0,,,,2019-08-14
TALWANDI SABO TPP,,,1980.0,31.740000000000002,22.8,4525.360000000001,4264.54,27.0,660.0,,,,2019-08-14
TALWANDI SABO TPP,Unit 1, ,660.0,10.55,11.4,1423.6999999999994,1425.23,,0.0,,,,2019-08-14
TALWANDI SABO TPP,Unit 2,S,660.0,10.29,0.0,1502.0599999999995,1413.1,,660.0,43689.99998842592,,BOILER MISC. PROBLEM,2019-08-14
TALWANDI SABO TPP,Unit 3, ,660.0,10.9,11.4,1599.6000000000013,1426.21,,0.0,,,,2019-08-14
GANGUWAL  HPS,,,77.65,1.42,1.77,184.87999999999982,226.98,,0.0,,,,2019-08-14
KOTLA  HPS,,,77.65,1.42,1.79,182.87999999999982,230.88,,0.0,,,,2019-08-14
CHHABRA TPP,,,2320.0,32.62,43.839999999999996,4794.109999999999,4709.93,0.0,0.0,,,,2019-08-14
CHHABRA TPP,Unit 1, ,250.0,4.9,5.06,572.5999999999997,733.61,,0.0,,,,2019-08-14
CHHABRA TPP,Unit 2, ,250.0,4.89,5.05,572.89,603.82,,0.0,,,,2019-08-14
CHHABRA TPP,Unit 3, ,250.0,4.9,5.01,572.5999999999997,550.28,,0.0,,,,2019-08-14
CHHABRA TPP,Unit 4, ,250.0,4.9,5.06,572.5999999999997,618.76,,0.0,,,,2019-08-14
CHHABRA TPP,Unit 5, ,660.0,13.03,11.94,1502.4199999999996,730.9,,0.0,,,,2019-08-14
CHHABRA TPP,Unit 6, ,660.0,0.0,11.72,1001.0,1472.56,,0.0,,,,2019-08-14
GIRAL TPS,,,250.0,0.0,0.0,0.0,0.0,,250.0,,,,2019-08-14
GIRAL TPS,Unit 1,P,125.0,0.0,0.0,0.0,0.0,,125.0,41831.34722222222,,UNIT LIKELY TO BE SCRAPPED.,2019-08-14
GIRAL TPS,Unit 2,P,125.0,0.0,0.0,0.0,0.0,,125.0,42396.64375,,UNIT LIKELY TO BE SCRAPPED.,2019-08-14
KALISINDH TPS,,,1200.0,23.17,10.99,2913.6799999999985,2052.25,,600.0,,,,2019-08-14
KALISINDH TPS,Unit 1, ,600.0,11.57,10.99,1335.2799999999997,1500.59,,0.0,,,,2019-08-14
KALISINDH TPS,Unit 2,L,600.0,11.6,0.0,1578.3999999999987,551.66,,600.0,43667.58888888889,,GENERATOR STATOR DAMAGED,2019-08-14
KOTA TPS,,,1240.0,17.32,19.310000000000002,2395.0399999999995,2777.31,13.0,195.0,,,,2019-08-14
KOTA TPS,Unit 1, ,110.0,1.43,1.71,194.0200000000001,193.13,,0.0,,,,2019-08-14
KOTA TPS,Unit 2, ,110.0,1.42,1.75,172.87999999999982,186.0,,0.0,,,,2019-08-14
KOTA TPS,Unit 3, ,210.0,4.03,3.76,322.4199999999996,411.64,,0.0,,,,2019-08-14
KOTA TPS,Unit 4, ,210.0,3.32,4.04,434.4799999999999,481.04,,0.0,,,,2019-08-14
KOTA TPS,Unit 5, ,210.0,3.32,3.73,437.4799999999999,462.4,,0.0,,,,2019-08-14
KOTA TPS,Unit 6,P,195.0,3.8,0.0,376.4000000000001,436.96,,195.0,43653.58472222222,,BOILER OVERHAUL/ ANNUAL MAINTENANCE,2019-08-14
KOTA TPS,Unit 7, ,195.0,0.0,4.32,457.36,606.14,,0.0,,,,2019-08-14
SURATGARH TPS,,,1500.0,26.67,9.27,4103.380000000001,2135.02,10.0,1000.0,,,,2019-08-14
SURATGARH TPS,Unit 1, ,250.0,2.81,4.67,406.34000000000003,347.45,,0.0,,,,2019-08-14
SURATGARH TPS,Unit 2,P,250.0,2.81,0.0,406.34000000000003,332.09,,250.0,43673.50763888889,,BOILER OVERHAUL/ ANNUAL MAINTENANCE,2019-08-14
SURATGARH TPS,Unit 3,L,250.0,3.0,0.0,437.0,456.31,,250.0,43674.123611111114,,RSD/LOW SCHEDULE,2019-08-14
SURATGARH TPS,Unit 4, ,250.0,2.81,4.6,413.34000000000003,442.7,,0.0,,,,2019-08-14
SURATGARH TPS,Unit 5,P,250.0,2.95,0.0,436.29999999999984,268.11,,250.0,43650.54583333333,,BOILER OVERHAUL/ ANNUAL MAINTENANCE,2019-08-14
SURATGARH TPS,Unit 6,L,250.0,0.0,0.0,329.0,288.36,,250.0,43674.3,,RSD/LOW SCHEDULE,2019-08-14
SURATGARH TPS,Unit 7, ,0.0,6.84,0.0,929.7600000000004,0.0,,0.0,,,unit not yet commissioned,2019-08-14
SURATGARH TPS,Unit 8, ,0.0,5.45,0.0,745.3000000000006,0.0,,0.0,,,unit not yet commissioned,2019-08-14
DHOLPUR CCPP,,,330.0,0.6900000000000001,0.0,93.66000000000003,0.0,,330.0,,,,2019-08-14
RAMGARH CCPP,,,273.8,2.8100000000000005,2.12,361.3399999999999,273.9,,238.3,,,,2019-08-14
JAWAHAR SAGAR  HPS,,,99.0,0.13,1.38,5.8199999999999985,22.0,,0.0,,,,2019-08-14
MAHI BAJAJ-I HPS,,,50.0,0.0,1.01,2.0,7.28,,0.0,,,,2019-08-14
MAHI BAJAJ-II HPS,,,90.0,0.0,0.0,1.0,1.35,,0.0,,,,2019-08-14
R P SAGAR  HPS,,,172.0,0.0,0.0,0.0,0.10999999999999999,,0.0,,,,2019-08-14
JALIPA KAPURDI TPP,,,1080.0,21.519999999999996,12.23,2611.279999999998,2200.34,,135.0,,,,2019-08-14
JALIPA KAPURDI TPP,Unit 1,S,135.0,2.81,0.0,325.34000000000003,246.43,,135.0,43690.427083333336,,BOILER MISC. PROBLEM,2019-08-14
JALIPA KAPURDI TPP,Unit 2, ,135.0,2.65,1.7,317.0999999999997,270.61,,0.0,,,,2019-08-14
JALIPA KAPURDI TPP,Unit 3, ,135.0,2.65,1.77,338.0999999999997,237.29,,0.0,,,,2019-08-14
JALIPA KAPURDI TPP,Unit 4, ,135.0,2.65,1.71,359.0999999999997,295.91,,0.0,,,,2019-08-14
JALIPA KAPURDI TPP,Unit 5, ,135.0,2.81,1.78,278.34000000000003,311.92,,0.0,,,,2019-08-14
JALIPA KAPURDI TPP,Unit 6, ,135.0,2.65,1.78,338.0999999999997,232.12,,0.0,,,,2019-08-14
JALIPA KAPURDI TPP,Unit 7, ,135.0,2.65,1.75,317.0999999999997,318.37,,0.0,,,,2019-08-14
JALIPA KAPURDI TPP,Unit 8, ,135.0,2.65,1.74,338.0999999999997,287.69,,0.0,,,,2019-08-14
KAWAI TPS,,,1320.0,21.479999999999997,11.54,3112.7200000000003,2798.42,2.0,660.0,,,,2019-08-14
KAWAI TPS,Unit 1, ,660.0,10.29,11.52,1502.0599999999995,1402.3,,0.0,,,,2019-08-14
KAWAI TPS,Unit 2,*,660.0,11.19,0.02,1610.6600000000008,1396.12,,660.0,43671.99930555555,14/08/2019 23:38:00,BOILER OVERHAUL/ ANNUAL MAINTENANCE,2019-08-14
BARSINGSAR LIGNITE,,,250.0,5.36,6.01,526.0400000000002,428.96000000000004,,0.0,,,,2019-08-14
