,State,Bioenergy,Coal,Hydropower,Nuclear,Oil/gas,Solar,Wind,net
11,Haryana,-70.8200000000001,-3998.020000000004,9.430000000000007,,-47.51000000000002,-130.73000000000002,0.0,-8475.300000000005
20,Maharashtra,-897.71,-2639.970000000001,541.7599999999998,-1195.88,-1333.2300000000005,2042.33,208.32000000000062,-6548.760000000007
35,West Bengal,-255.85000000000014,-2962.5900000000256,67.86000000000016,,0.0,75.66999999999996,0.0,-6149.820000000043
4,Bihar,-2.0800000000000125,-2296.980000000003,1.9800000000000004,,0.0,39.97999999999996,0.0,-4514.200000000002
27,Punjab,-143.43999999999994,-1385.4599999999991,-348.89000000000055,0.0,0.0,93.47000000000003,0.0,-3568.6399999999994
19,Madhya Pradesh,-44.69999999999999,-4271.459999999977,720.4200000000001,,0.0,1657.2599999999993,356.0100000000011,-3164.940000000007
14,Jharkhand,0.0,-1262.6300000000047,-57.35999999999997,,0.0,-2.9400000000000013,0.0,-2645.860000000005
10,Gujarat,79.27000000000001,-14498.909999999989,501.5199999999996,1776.8199999999997,-4155.75,6868.42,8810.170000000002,-1236.91999999998
33,Uttar Pradesh,-494.0600000000004,1354.9100000000035,592.9600000000003,-998.77,-502.4,574.4400000000005,0.0,1054.1599999999912
31,Telangana,-57.57000000000002,-1116.1399999999921,1753.7599999999998,0.0,0.0,-46.460000000000036,2.169999999999959,1071.5200000000173
30,Tamil Nadu,-312.9200000000001,-10667.55999999999,1588.4799999999998,372.08000000000175,-497.75,3082.379999999999,7201.450000000001,1532.3200000000152
25,Odisha,-22.72,849.1100000000006,215.77000000000163,,0.0,21.720000000000027,0.0,2127.7600000000066
6,Chhattisgarh,-178.51,1829.030000000028,85.81000000000009,0.0,0.0,197.3699999999999,0.0,3867.4000000000397
0,Others,-189.33,-468.6400000000003,5595.1400000000085,0.0,-2638.92,214.0499999999997,15.399999999999977,5055.399999999993
1,Andhra Pradesh,-53.990000000000066,1246.1300000000047,2327.1600000000008,,275.04,123.90999999999985,1098.2199999999993,10032.939999999991
15,Karnataka,460.02,-1667.469999999994,4623.11,-1671.4000000000005,597.0400000000001,998.5099999999984,3893.66,14466.940000000004
28,Rajasthan,107.81000000000006,-5767.0799999999945,169.41000000000003,1682.510000000002,-13.969999999999914,10487.849999999991,712.5199999999995,14758.100000000002
