,Parameter,State,diff_2025_vs_2024
0,Coal,Uttar Pradesh,1225.3400000000256
1,Oil & Gas,Uttar Pradesh,-521.5100000000001
2,Nuclear,Uttar Pradesh,-930.54
3,Hydro,Uttar Pradesh,643.5100000000002
4,Solar,Uttar Pradesh,524.0000000000005
5,Wind,Uttar Pradesh,0.0
6,Small-Hydro,Uttar Pradesh,-30.230000000000004
7,Bio Power,Uttar Pradesh,-142.7700000000002
8,Coal,Chhattisgarh,1701.5800000000163
9,Oil & Gas,Chhattisgarh,0.0
10,Nuclear,Chhattisgarh,0.0
11,Hydro,Chhattisgarh,51.650000000000034
12,Solar,Chhattisgarh,174.93999999999983
13,Wind,Chhattisgarh,0.0
14,Small-Hydro,Chhattisgarh,47.19000000000001
15,Bio Power,Chhattisgarh,-44.13999999999987
16,Total,Uttar Pradesh,-767.7999999999884
17,Total,Chhattisgarh,-1931.2200000000012
18,Coal,Assam,-478.65999999999985
19,Oil & Gas,Assam,-262.3499999999999
20,Hydro,Assam,422.55999999999995
21,Solar,Assam,4.860000000000014
22,Wind,Assam,0.0
23,Small-Hydro,Assam,-47.11
24,Bio Power,Assam,-0.3400000000000001
25,Coal,Jharkhand,-1564.5900000000038
26,Oil & Gas,Jharkhand,0.0
27,Hydro,Jharkhand,-60.51999999999998
28,Solar,Jharkhand,-1.4700000000000006
29,Wind,Jharkhand,0.0
30,Small-Hydro,Jharkhand,7.629999999999999
31,Bio Power,Jharkhand,0.0
32,Coal,Odisha,929.3000000000029
33,Oil & Gas,Odisha,0.0
34,Hydro,Odisha,298.47000000000116
35,Solar,Odisha,31.379999999999995
36,Wind,Odisha,0.0
37,Small-Hydro,Odisha,16.279999999999973
38,Bio Power,Odisha,-16.190000000000005
39,Coal,Andhra Pradesh,1463.199999999997
40,Oil & Gas,Andhra Pradesh,278.11
41,Hydro,Andhra Pradesh,2004.3700000000003
42,Solar,Andhra Pradesh,10.30999999999949
43,Wind,Andhra Pradesh,1088.5600000000004
44,Small-Hydro,Andhra Pradesh,136.32
45,Bio Power,Andhra Pradesh,-19.940000000000055
46,Total,Assam,361.03999999999996
