,value,value,value,value,value
0,33.489999999999995,6.7490000000000006,26.741,177.96,3.29
1,60.17999999999999,16.0225,44.1575,216.4,3.96
2,85.7395,25.287499999999998,60.4435,261.56,5.72
3,118.50699999999999,44.998999999999995,73.508,292.33,7.86
4,155.9155,67.97449999999999,87.94099999999999,340.61,9.19
5,203.26899999999998,99.2375,104.0315,403.19,12.2
6,273.6915,151.912,121.77099999999999,452.76,14.77
7,365.8655,211.1315,154.73399999999998,496.65,18.51
8,457.94599999999997,265.472,192.474,541.83,22.99
9,562.275,330.1655,232.101,595.22,28.63
10,689.6305,401.63349999999997,287.997,697.27,34.77
11,830.433,477.10499999999996,353.328,770.16,54.7
12,1019.4474999999999,569.16,450.28749999999997,835.96,65.03
13,1379.448,769.5985,609.841,941.38,74.19
14,1836.4675000000002,1045.279,791.1885,1047.26,83.41
15,2395.13,1350.9985,1044.14,1186.26,99.08
