scenario,technology,status,date_known,cancel_prob,delay_min,delay_mode,delay_max,undated_remaining_min,undated_remaining_mode,undated_remaining_max
central,offshore wind,construction,known,0.02,0,0.25,1,,,
central,offshore wind,construction,unknown,0.05,0,0.5,1,0,1.5,2.5
central,offshore wind,pre-construction,known,0.2,0,1,5,,,
central,offshore wind,pre-construction,unknown,0.3,0,1,4,2,4,7
central,offshore wind,announced,known,0.45,0,2,5,,,
central,offshore wind,announced,unknown,0.55,0,2,6,3,6,10
,,,,,,,,,,
central,onshore wind,construction,known,0.03,0,0,1,,,
central,onshore wind,construction,unknown,0.05,0,0,1,0,1,2
central,onshore wind,pre-construction,known,0.15,0,1,3,,,
central,onshore wind,pre-construction,unknown,0.22,0,1,4,1,3,5
central,onshore wind,announced,known,0.35,0,2,5,,,
central,onshore wind,announced,unknown,0.45,0,2,6,2,4,8
,,,,,,,,,,
central,utility-scale solar,construction,known,0.01,0,0,0.7,,,
central,utility-scale solar,construction,unknown,0.03,0,0,0.7,0,0.8,2
central,utility-scale solar,pre-construction,known,0.12,0,0.5,1.5,,,
central,utility-scale solar,pre-construction,unknown,0.18,0,0.5,1.5,1,2,3.5
central,utility-scale solar,announced,known,0.3,0,1.5,2.5,,,
central,utility-scale solar,announced,unknown,0.4,0,1.5,2.5,2,4,6
,,,,,,,,,,
central,hydropower,construction,known,0.08,0,1,3,,,
central,hydropower,construction,unknown,0.12,0,1,3,1,2,4
central,hydropower,pre-construction,known,0.25,0,2,5,,,
central,hydropower,pre-construction,unknown,0.35,0,2,6,2,5,8
central,hydropower,announced,known,0.5,0,3,7,,,
central,hydropower,announced,unknown,0.6,0,3,8,3,6,10
