,index,pre-2030,unknown
Utility-scale solar,Announced,180.7309,542.0884
Utility-scale solar,Construction,163.15220000000002,305.4585
Utility-scale solar,Pre-construction,238.0215,883.5082
Utility-scale solar,Total,581.9046000000001,1731.0551
Onshore wind,Announced,93.0244,405.0403
Onshore wind,Construction,87.5098,179.22310000000002
Onshore wind,Pre-construction,185.073,573.217
Onshore wind,Total,365.60720000000003,1157.4804
Offshore wind,Announced,41.139,442.4572
Offshore wind,Construction,16.942,29.799
Offshore wind,Pre-construction,137.8865,287.59040000000005
Offshore wind,Total,195.96750000000003,759.8466000000001
Hydro,Announced,11.294,82.532
Hydro,Construction,49.324,16.328
Hydro,Pre-construction,35.754,106.325
Hydro,Total,96.37199999999999,205.185
