scenario,technology,cancel_sensitivity,timing_sensitivity,global_shock_std,shock_min,shock_max
low,utility-scale solar,0.2,0.25,0.35,-1.5,1.5
low,onshore wind,0.25,0.3,0.35,-1.5,1.5
low,offshore wind,0.4,0.5,0.35,-1.5,1.5
low,hydropower,0.35,0.45,0.35,-1.5,1.5
central,utility-scale solar,0.2,0.25,0.35,-1.5,1.5
central,onshore wind,0.25,0.3,0.35,-1.5,1.5
central,offshore wind,0.4,0.5,0.35,-1.5,1.5
central,hydropower,0.35,0.45,0.35,-1.5,1.5
high,utility-scale solar,0.2,0.25,0.35,-1.5,1.5
high,onshore wind,0.25,0.3,0.35,-1.5,1.5
high,offshore wind,0.4,0.5,0.35,-1.5,1.5
high,hydropower,0.35,0.45,0.35,-1.5,1.5
