scenario,status,model_technology,date_known,mean_mw,p10_mw,p25_mw,p50_mw,p75_mw,p90_mw
central,announced,hydropower,known,1537.662,558.8,953.0,1442.0,1980.0,2639.6000000000004
central,announced,hydropower,unknown,2309.142,0.0,0.0,320.0,2575.0,6391.800000000001
central,announced,offshore wind,known,7289.791,3123.4,4812.75,6978.5,9278.25,11905.3
central,announced,offshore wind,unknown,10834.1166,0.0,0.0,2000.0,8659.75,25763.000000000015
central,announced,onshore wind,known,32160.1865,25053.620000000003,28004.824999999997,32241.25,35998.375,39509.590000000004
central,announced,onshore wind,unknown,54502.2661,20307.63,29968.85,45931.65,69276.825,100334.86000000002
central,announced,utility-scale solar,known,104532.6706,93446.81000000001,99227.125,104994.75,110444.675,115006.78
central,announced,utility-scale solar,unknown,230832.50590000002,154386.28,188742.94999999998,227308.15000000002,270496.675,313274.33
central,construction,hydropower,known,41069.693,36748.1,39418.25,41585.0,43372.75,44574.6
central,construction,hydropower,unknown,13707.777,11201.0,12645.75,14075.0,15150.0,15645.2
central,construction,offshore wind,known,16545.247,15742.0,16383.0,16742.0,16942.0,16942.0
central,construction,offshore wind,unknown,28593.222,27313.95,28020.75,28770.5,29349.0,29690.0
central,construction,onshore wind,known,84998.0975,83045.76,84261.975,85286.1,86154.05,86694.23
central,construction,onshore wind,unknown,171907.8738,168850.06,171055.05,172521.1,173825.825,174709.18
central,construction,utility-scale solar,known,161100.8054,159442.77,160555.55000000002,161412.15,161996.125,162427.5
central,construction,utility-scale solar,unknown,299652.8714,297164.89,298674.325,299947.15,300954.05000000005,301846.91000000003
central,pre-construction,hydropower,known,11902.567,7338.8,9275.0,11703.0,14302.5,16706.1
central,pre-construction,hydropower,unknown,9916.309,986.6000000000001,2701.25,6113.5,12826.5,22691.100000000002
central,pre-construction,offshore wind,known,47099.901,33781.45,39374.75,46474.5,53851.375,61527.200000000004
central,pre-construction,offshore wind,unknown,73909.8227,17078.4,32050.05,58989.5,102850.675,153489.5
central,pre-construction,onshore wind,known,133068.0258,120143.28,126514.6,133139.05,140578.85,145388.3
central,pre-construction,onshore wind,unknown,364663.8595,288024.95,323856.925,365229.55,407412.875,440279.81
central,pre-construction,utility-scale solar,known,206660.8467,198883.28000000003,203052.625,207374.8,210698.55,213766.02
central,pre-construction,utility-scale solar,unknown,752003.4955,732710.14,742213.0249999999,752352.55,762256.575,770003.11
high,announced,hydropower,known,3380.848,2018.6,2630.25,3341.5,4081.25,4857.1
high,announced,hydropower,unknown,18837.112,4798.6,9016.5,15463.5,26047.0,36950.9
high,announced,offshore wind,known,12228.001,7909.6,9936.5,12189.5,14456.75,16592.2
high,announced,offshore wind,unknown,100659.7722,20412.2,40735.3,80793.5,142487.45,218809.58000000002
high,announced,onshore wind,known,46290.7279,40089.44,42982.975,46219.5,49260.8,52423.53
high,announced,onshore wind,unknown,217803.7082,154343.15000000002,184589.34999999998,218351.35,251606.875,278647.53
high,announced,utility-scale solar,known,123552.9259,112106.73999999999,117910.675,123897.75,129596.42499999999,134698.08000000002
high,announced,utility-scale solar,unknown,424388.122,393147.42,409749.25,427583.8,441158.5,451366.47000000003
high,construction,hydropower,known,44287.297,41226.6,43011.25,44693.0,45822.0,46735.1
high,construction,hydropower,unknown,15253.043,13822.8,14895.75,15576.5,15899.5,16092.0
high,construction,offshore wind,known,16715.975,16142.0,16712.0,16942.0,16942.0,16942.0
high,construction,offshore wind,unknown,28966.658,27895.0,28500.125,29188.25,29599.0,29799.0
high,construction,onshore wind,known,85949.487,84403.5,85536.8,86304.4,86836.27500000001,87154.8
high,construction,onshore wind,unknown,174203.4962,171921.33000000002,173592.2,174822.5,175651.8,176365.59
high,construction,utility-scale solar,known,162145.3035,161130.13,161890.575,162437.65,162747.325,162939.02
high,construction,utility-scale solar,unknown,301513.9078,299511.39,300670.325,301778.2,302669.875,303273.99999999994
high,pre-construction,hydropower,known,19156.314,14723.9,17165.25,19436.0,21407.25,23077.2
high,pre-construction,hydropower,unknown,50333.91,24133.4,35532.5,48845.5,65359.25,79005.2
high,pre-construction,offshore wind,known,68480.41,56265.2,62061.5,68110.25,74605.625,80904.1
high,pre-construction,offshore wind,unknown,202614.1551,147507.19,180523.32499999998,212574.5,232340.925,242872.16999999998
high,pre-construction,onshore wind,known,151616.9523,141902.46,147158.025,152430.45,156970.69999999998,159932.44
high,pre-construction,onshore wind,unknown,496931.8247,480288.92,489626.19999999995,498618.44999999995,505991.5,511808.68999999994
high,pre-construction,utility-scale solar,known,217519.076,210387.11000000002,214469.125,218072.75,221033.925,223532.87999999998
high,pre-construction,utility-scale solar,unknown,794680.36,779921.78,787785.825,795540.7,802484.375,808099.5999999999
low,announced,hydropower,known,540.733,0.0,141.0,392.5,801.0,1252.3000000000002
low,announced,hydropower,unknown,121.677,0.0,0.0,0.0,0.0,0.0
low,announced,offshore wind,known,3384.743,520.0,1503.0,2970.0,4809.25,6559.0
low,announced,offshore wind,unknown,460.42220000000003,0.0,0.0,0.0,0.0,5.000000000001137
low,announced,onshore wind,known,17990.920100000003,11864.68,14550.75,17719.35,21137.75,24334.87
low,announced,onshore wind,unknown,5946.2492,580.79,1524.925,3745.65,7582.175,13993.420000000004
low,announced,utility-scale solar,known,88639.4465,75886.98,82588.1,89797.15,95379.925,99530.99
low,announced,utility-scale solar,unknown,42368.275200000004,14617.04,22578.525,36283.65,55139.075000000004,79080.15000000001
low,construction,hydropower,known,35904.277,30375.6,32998.0,36171.5,39006.5,41157.8
low,construction,hydropower,unknown,8548.235,4346.6,6325.0,8554.5,10873.25,12895.7
low,construction,offshore wind,known,16339.246,15542.0,16027.0,16667.0,16742.0,16942.0
low,construction,offshore wind,unknown,27988.7735,26378.65,27286.875,28146.0,28891.0,29391.0
low,construction,onshore wind,known,83833.1562,81273.45,82792.65,84209.9,85211.675,85990.5
low,construction,onshore wind,unknown,169145.6102,165164.41,167908.2,169958.5,171476.72499999998,172570.34
low,construction,utility-scale solar,known,159532.148,157625.66,158772.075,159846.3,160607.67500000002,161260.62
low,construction,utility-scale solar,unknown,297405.161,294119.66,296109.025,297769.15,299147.10000000003,300032.14
low,pre-construction,hydropower,known,6412.467,3064.0,4280.75,6116.0,8016.75,10212.700000000003
low,pre-construction,hydropower,unknown,1076.509,0.0,0.0,58.0,1362.5,3145.700000000001
low,pre-construction,offshore wind,known,29540.944,18671.55,23353.125,28651.0,34890.0,42004.95
low,pre-construction,offshore wind,unknown,12790.697300000002,500.0,1809.5,6006.5,14221.125,31479.58
low,pre-construction,onshore wind,known,108734.1164,94496.55999999998,101201.65,108762.55,116137.425,123215.18
low,pre-construction,onshore wind,unknown,147111.93180000002,80909.4,105995.4,138488.25,180513.90000000002,220721.77
low,pre-construction,utility-scale solar,known,193985.96540000002,183563.3,189169.65000000002,194855.1,199370.975,203286.22
low,pre-construction,utility-scale solar,unknown,629540.167,549473.45,592319.85,636274.3,673135.4,701955.5100000001
