scenario,status,model_technology,mean_mw,p10_mw,p25_mw,p50_mw,p75_mw,p90_mw
central,announced,hydropower,3846.804,667.0,1128.25,2025.5,4548.75,8267.200000000006
central,announced,offshore wind,18123.907600000002,3700.9,5764.0,9436.0,17109.25,37018.10000000001
central,announced,onshore wind,86662.45259999999,47769.69,60048.774999999994,78336.65,105046.92499999999,137633.65000000002
central,announced,utility-scale solar,335365.1765,253595.68000000002,290298.7,331526.55000000005,379596.325,423751.13
central,construction,hydropower,54777.47,49075.4,52459.5,55410.0,57853.5,59602.3
central,construction,offshore wind,45138.469,43711.5,44501.75,45335.0,45990.25,46437.3
central,construction,onshore wind,256905.9713,252417.27,255534.8,257667.1,259244.575,260449.01
central,construction,utility-scale solar,460753.6768,457689.59,459403.67500000005,461127.0,462456.75,463518.55
central,pre-construction,hydropower,21818.876,9278.2,12679.0,17642.0,26470.5,39100.3
central,pre-construction,offshore wind,121009.7237,54117.340000000004,71822.5,104911.6,155437.275,212673.57000000004
central,pre-construction,onshore wind,497731.8853,412414.92000000004,452172.775,499102.85,545264.975,581685.7200000001
central,pre-construction,utility-scale solar,958664.3422000001,936514.77,947112.0,959619.2,970810.5,979709.7899999999
high,announced,hydropower,22217.96,7294.400000000001,11957.25,19038.0,29750.25,41021.4
high,announced,offshore wind,112887.7732,31864.0,51090.05,92461.5,156423.25,232145.30000000002
high,announced,onshore wind,264094.4361,197961.2,229515.125,264252.6,300758.075,330578.66000000003
high,announced,utility-scale solar,547941.0479,512313.02,530929.225,550877.0,566029.3,579485.98
high,construction,hydropower,59540.34,56386.3,58031.25,59905.5,61259.5,62139.0
high,construction,offshore wind,45682.633,44434.2,45180.5,45843.0,46418.0,46741.0
high,construction,onshore wind,260152.9832,257026.80999999997,259189.69999999998,260838.2,261998.34999999998,262842.62
high,construction,utility-scale solar,463659.2113,461392.7,462690.875,463913.55,465034.375,465708.52
high,pre-construction,hydropower,69490.224,39443.5,53388.25,68797.5,85642.0,100423.2
high,pre-construction,offshore wind,271094.5651,204870.35,244614.125,279928.05000000005,305943.85000000003,321569.36000000004
high,pre-construction,onshore wind,648548.777,626690.3200000001,638843.3999999999,650142.1,660106.125,668483.73
high,pre-construction,utility-scale solar,1012199.436,995174.7100000001,1003833.9000000001,1013149.5,1021368.275,1028164.57
low,announced,hydropower,662.41,0.0,141.0,405.5,845.0,1369.1
low,announced,offshore wind,3845.1652000000004,520.0,1524.75,3028.0,5022.25,7411.000000000001
low,announced,onshore wind,23937.1693,13509.43,17164.025,21868.05,28636.899999999998,37057.31
low,announced,utility-scale solar,131007.72170000001,95033.37000000001,108935.075,125487.70000000001,146638.95,174564.21000000002
low,construction,hydropower,44452.512,35813.9,39989.75,44772.5,49267.0,52626.1
low,construction,offshore wind,44328.0195,42370.9,43503.375,44535.0,45341.0,46018.9
low,construction,onshore wind,252978.7664,247514.59,251256.875,253679.0,255835.525,257311.67
low,construction,utility-scale solar,456937.309,453089.54000000004,455175.9,457365.7,459129.175,460299.18
low,pre-construction,hydropower,7488.976,3141.6,4480.75,6693.0,9406.5,12697.300000000001
low,pre-construction,offshore wind,42331.641299999996,19871.12,26340.625,34760.25,49114.5,69952.77
low,pre-construction,onshore wind,255846.0482,178870.83000000002,208791.575,247197.95,294324.45,339423.75
low,pre-construction,utility-scale solar,823526.1324,737405.84,783066.625,830676.3,871312.125,901656.4800000001
