scenario,year,status,model_technology,date_known,mean_mw,p10_mw,p25_mw,p50_mw,p75_mw,p90_mw
central,2026,announced,hydropower,known,8.37,0.0,0.0,0.0,0.0,0.0
central,2026,announced,hydropower,unknown,0.0,0.0,0.0,0.0,0.0,0.0
central,2026,announced,offshore wind,known,78.429,0.0,0.0,0.0,0.0,250.0
central,2026,announced,offshore wind,unknown,0.0,0.0,0.0,0.0,0.0,0.0
central,2026,announced,onshore wind,known,344.6892,34.900000000000006,90.0,201.0,381.625,622.1
central,2026,announced,onshore wind,unknown,0.0,0.0,0.0,0.0,0.0,0.0
central,2026,announced,utility-scale solar,known,2969.7623,1578.2,2054.55,2763.1,3702.825,4718.59
central,2026,announced,utility-scale solar,unknown,0.0,0.0,0.0,0.0,0.0,0.0
central,2026,construction,hydropower,known,2319.131,300.0,775.5,1987.0,3348.5,4842.0
central,2026,construction,hydropower,unknown,10.069,0.0,0.0,0.0,0.0,0.0
central,2026,construction,offshore wind,known,7537.785,5111.2,6249.75,7618.0,8896.0,9959.0
central,2026,construction,offshore wind,unknown,5006.075,1312.5,2519.5,4013.5,6460.25,9511.4
central,2026,construction,onshore wind,known,50388.1382,45637.35,47782.175,50679.3,53092.0,54827.05
central,2026,construction,onshore wind,unknown,73579.60029999999,50860.62,59308.825000000004,70992.3,84722.925,99684.06000000001
central,2026,construction,utility-scale solar,known,85669.0067,81398.24,83325.95,85882.6,88152.375,89740.36
central,2026,construction,utility-scale solar,unknown,165506.74,131739.47,146194.5,163908.9,182654.2,200284.73
central,2026,pre-construction,hydropower,known,40.013,0.0,0.0,0.0,0.0,110.0
central,2026,pre-construction,hydropower,unknown,0.0,0.0,0.0,0.0,0.0,0.0
central,2026,pre-construction,offshore wind,known,344.12,0.0,0.0,255.0,540.0,875.5000000000001
central,2026,pre-construction,offshore wind,unknown,1.1,0.0,0.0,0.0,0.0,0.0
central,2026,pre-construction,onshore wind,known,5786.9574,2758.84,3678.475,5213.049999999999,7364.125,9417.08
central,2026,pre-construction,onshore wind,unknown,33.2045,0.0,0.0,0.0,0.0,84.10000000000002
central,2026,pre-construction,utility-scale solar,known,25777.504800000002,19860.69,22112.875,25370.1,28764.475,32755.100000000002
central,2026,pre-construction,utility-scale solar,unknown,419.196,0.0,0.0,50.0,350.0,1020.8700000000002
central,2027,announced,hydropower,known,74.122,0.0,0.0,0.0,50.0,340.0
central,2027,announced,hydropower,unknown,2.305,0.0,0.0,0.0,0.0,0.0
central,2027,announced,offshore wind,known,697.125,0.0,0.0,350.0,900.0,2150.0
central,2027,announced,offshore wind,unknown,13.655,0.0,0.0,0.0,0.0,0.0
central,2027,announced,onshore wind,known,3114.4081,1333.7,1791.275,2473.9,3775.225,6461.98
central,2027,announced,onshore wind,unknown,106.4003,0.0,0.0,0.0,0.0,100.0
central,2027,announced,utility-scale solar,known,21107.2669,17235.05,19108.675000000003,21173.85,23069.175,24984.09
central,2027,announced,utility-scale solar,unknown,229.1778,0.0,0.0,0.0,100.0,500.0
central,2027,construction,hydropower,known,11949.901,7820.1,9689.0,12004.0,14036.5,15933.6
central,2027,construction,hydropower,unknown,1325.713,0.0,91.0,616.5,1984.25,3672.1000000000004
central,2027,construction,offshore wind,known,7145.026,4605.0,5828.0,7046.0,8534.25,9760.2
central,2027,construction,offshore wind,unknown,17619.292,12413.35,15351.625,18205.25,20272.75,22218.1
central,2027,construction,onshore wind,known,21013.052,17144.04,18689.375,20816.800000000003,23074.6,25255.780000000002
central,2027,construction,onshore wind,unknown,93114.2291,71348.32,85056.375,96241.45,104613.7,110373.11
central,2027,construction,utility-scale solar,known,47015.5874,43240.0,45085.8,46967.45,49053.7,50763.329999999994
central,2027,construction,utility-scale solar,unknown,130461.0387,99081.12,116167.175,132934.5,148234.0,159768.50999999998
central,2027,pre-construction,hydropower,known,454.827,0.0,125.75,341.0,716.75,1037.3000000000002
central,2027,pre-construction,hydropower,unknown,20.95,0.0,0.0,0.0,0.0,0.0
central,2027,pre-construction,offshore wind,known,2872.275,1129.3,1725.5,2537.5,3755.75,4985.2
central,2027,pre-construction,offshore wind,unknown,607.3019,0.0,0.0,0.0,0.0,500.0
central,2027,pre-construction,onshore wind,known,32765.7423,26081.920000000002,29071.100000000002,32803.3,36262.45,39519.86
central,2027,pre-construction,onshore wind,unknown,12323.5306,3263.0899999999997,5502.125,9359.7,15294.3,22941.52000000001
central,2027,pre-construction,utility-scale solar,known,71084.9396,64465.65,67369.65,71073.05,74671.1,77897.03
central,2027,pre-construction,utility-scale solar,unknown,151856.2095,72281.17,99754.125,135872.3,188840.95,248774.76000000004
central,2028,announced,hydropower,known,215.6,0.0,0.0,120.0,325.0,601.7000000000002
central,2028,announced,hydropower,unknown,68.204,0.0,0.0,0.0,0.0,0.0
central,2028,announced,offshore wind,known,1458.077,0.0,350.0,1000.0,2220.0,3450.0
central,2028,announced,offshore wind,unknown,446.25140000000005,0.0,0.0,0.0,0.0,0.0
central,2028,announced,onshore wind,known,7742.1332999999995,4671.030000000001,5626.375,7221.4,9472.099999999999,11548.2
central,2028,announced,onshore wind,unknown,2576.6942999999997,100.0,345.35,1192.5,3174.5,6353.920000000004
central,2028,announced,utility-scale solar,known,30082.7139,24176.94,26095.7,28709.550000000003,32572.6,38579.49
central,2028,announced,utility-scale solar,unknown,17508.4827,3151.7000000000003,6884.5,13131.6,22580.574999999997,37626.780000000006
central,2028,construction,hydropower,known,10983.284,7104.900000000001,8940.25,10888.0,12971.75,14905.3
central,2028,construction,hydropower,unknown,4964.566,1979.2,3234.0,4740.5,6541.0,8244.2
central,2028,construction,offshore wind,known,1730.636,0.0,448.0,1264.0,3088.0,3904.0
central,2028,construction,offshore wind,unknown,5644.3315,30.0,1898.625,4996.75,8890.125,12014.35
central,2028,construction,onshore wind,known,8871.1559,6989.59,7961.25,8837.9,10131.35,11465.59
central,2028,construction,onshore wind,unknown,5198.073,351.46000000000004,1130.3999999999999,3278.2,7335.3,12897.920000000002
central,2028,construction,utility-scale solar,known,19331.146800000002,16686.77,17545.074999999997,18758.0,20618.6,22847.19
central,2028,construction,utility-scale solar,unknown,3684.3804,307.24000000000007,1087.4,2697.45,5157.675,8069.620000000001
central,2028,pre-construction,hydropower,known,1748.232,638.7,982.75,1557.5,2208.0,2964.6000000000004
central,2028,pre-construction,hydropower,unknown,552.467,0.0,0.0,0.0,169.5,1500.0
central,2028,pre-construction,offshore wind,known,8332.8365,4452.7,5908.625,8082.0,10461.75,12532.2
central,2028,pre-construction,offshore wind,unknown,6806.1848,0.0,103.0,1559.0,6054.125,16425.200000000004
central,2028,pre-construction,onshore wind,known,33622.1599,27423.800000000003,30135.024999999998,33185.1,36472.975,40403.130000000005
central,2028,pre-construction,onshore wind,unknown,82482.9246,41086.76,54413.975,73963.4,101809.725,136442.1
central,2028,pre-construction,utility-scale solar,known,64312.080799999996,57527.27,60555.15,64516.7,67957.47499999999,71609.06
central,2028,pre-construction,utility-scale solar,unknown,402119.18,354858.89,383607.725,409558.7,427607.175,439587.03
central,2029,announced,hydropower,known,484.032,38.0,150.0,373.5,709.75,1053.1
central,2029,announced,hydropower,unknown,556.308,0.0,0.0,0.0,3.5,2100.900000000001
central,2029,announced,offshore wind,known,2187.075,250.0,650.0,1840.5,3305.25,4776.0
central,2029,announced,offshore wind,unknown,2472.332,0.0,0.0,0.0,510.0,4523.700000000003
central,2029,announced,onshore wind,known,10740.2156,7050.34,8162.275,10192.0,12877.825,15260.71
central,2029,announced,onshore wind,unknown,15395.3961,3703.1000000000004,6432.55,11270.85,19129.45,32329.41
central,2029,announced,utility-scale solar,known,34099.9392,22370.219999999998,28140.449999999997,34565.4,40309.174999999996,44055.979999999996
central,2029,announced,utility-scale solar,unknown,86578.9,42207.47,57256.35,81171.70000000001,110097.9,138147.35
central,2029,construction,hydropower,known,8658.676,4285.1,6328.0,8739.0,10901.5,12781.5
central,2029,construction,hydropower,unknown,4902.417,2381.8,3430.0,4853.5,6299.75,7464.6
central,2029,construction,offshore wind,known,0.0,0.0,0.0,0.0,0.0,0.0
central,2029,construction,offshore wind,unknown,317.8425,0.0,0.0,0.0,30.0,1391.9
central,2029,construction,onshore wind,known,3016.0772,1550.0,2099.6,2643.8,3243.8,3690.3
central,2029,construction,onshore wind,unknown,15.9714,0.0,0.0,0.0,0.0,0.10000000000002274
central,2029,construction,utility-scale solar,known,3186.8345,2448.0,2790.25,2948.0,3348.0,4114.8
central,2029,construction,utility-scale solar,unknown,0.7123,0.0,0.0,0.0,0.0,0.0
central,2029,pre-construction,hydropower,known,3792.459,1651.0,2397.25,3405.5,4772.5,6635.3
central,2029,pre-construction,hydropower,unknown,2646.905,0.0,127.75,1100.0,3183.5,7027.0
central,2029,pre-construction,offshore wind,known,14579.177,9101.3,11446.625,14142.5,17459.5,20470.75
central,2029,pre-construction,offshore wind,unknown,24443.3207,3148.25,6835.0,15380.75,34055.025,60925.98
central,2029,pre-construction,onshore wind,known,33302.081399999995,24500.99,27561.975000000002,33347.5,38298.55,41941.46
central,2029,pre-construction,onshore wind,unknown,147122.1242,108959.88,128195.575,150118.7,169396.725,179695.31
central,2029,pre-construction,utility-scale solar,known,31730.148699999998,25200.67,27820.45,31139.35,35499.2,39498.409999999996
central,2029,pre-construction,utility-scale solar,unknown,176603.13259999998,89634.23,132074.8,182357.3,225219.825,256797.09
central,2030,announced,hydropower,known,755.538,194.60000000000002,383.5,652.5,1024.5,1458.1
central,2030,announced,hydropower,unknown,1682.325,0.0,0.0,220.0,2200.0,4926.200000000001
