scenario,year,status,model_technology,mean_mw,p10_mw,p25_mw,p50_mw,p75_mw,p90_mw
central,2026,announced,hydropower,8.37,0.0,0.0,0.0,0.0,0.0
central,2026,announced,offshore wind,78.429,0.0,0.0,0.0,0.0,250.0
central,2026,announced,onshore wind,344.6892,34.900000000000006,90.0,201.0,381.625,622.1
central,2026,announced,utility-scale solar,2969.7623,1578.2,2054.55,2763.1,3702.825,4718.59
central,2026,construction,hydropower,2329.2,300.0,775.5,2000.0,3348.5,4860.6
central,2026,construction,offshore wind,12543.86,7061.6,9186.0,11533.5,14999.375,18894.25
central,2026,construction,onshore wind,123967.7385,98052.09000000001,108427.325,121244.8,137111.2,153710.65
central,2026,construction,utility-scale solar,251175.7467,213897.08,229924.35,249552.75,270724.3,289468.13
central,2026,pre-construction,hydropower,40.013,0.0,0.0,0.0,0.0,110.0
central,2026,pre-construction,offshore wind,345.22,0.0,0.0,255.0,540.0,875.5000000000001
central,2026,pre-construction,onshore wind,5820.1619,2758.84,3678.475,5217.049999999999,7411.0,9510.25
central,2026,pre-construction,utility-scale solar,26196.700800000002,19860.69,22123.2,25502.4,29139.85,33411.37
central,2027,announced,hydropower,76.427,0.0,0.0,0.0,50.0,340.0
central,2027,announced,offshore wind,710.78,0.0,0.0,350.0,900.0,2150.0
central,2027,announced,onshore wind,3220.8084,1338.1699999999998,1800.875,2482.85,3911.875,6515.340000000001
central,2027,announced,utility-scale solar,21336.4447,17249.41,19152.25,21295.449999999997,23365.525,25526.23
central,2027,construction,hydropower,13275.614,8340.8,10403.5,12977.0,15577.5,18530.6
central,2027,construction,offshore wind,24764.318,19690.8,22296.375,25187.0,27615.625,29400.3
central,2027,construction,onshore wind,114127.2811,89251.28,104368.05,116699.20000000001,126647.7,134035.54
central,2027,construction,utility-scale solar,177476.6261,144402.4,161674.95,179734.85000000003,196088.05,207904.49000000002
central,2027,pre-construction,hydropower,475.777,0.0,126.0,344.0,721.75,1046.4
central,2027,pre-construction,offshore wind,3479.5769,1143.9,1749.75,2638.5,3966.25,5449.3
central,2027,pre-construction,onshore wind,45089.272899999996,30567.99,35903.9,42204.25,50709.1,60629.369999999995
central,2027,pre-construction,utility-scale solar,222941.14909999998,140696.27000000002,169294.7,208398.95,260606.97499999998,323084.53
central,2028,announced,hydropower,283.804,0.0,0.0,120.0,336.25,650.0
central,2028,announced,offshore wind,1904.3283999999999,0.0,365.0,1058.0,2297.0,3720.5
central,2028,announced,onshore wind,10318.8276,5093.33,6474.775,9166.1,12298.65,16768.160000000003
central,2028,announced,utility-scale solar,47591.1966,30408.9,35070.35,43479.0,55209.649999999994,69703.98000000001
central,2028,construction,hydropower,15947.85,11180.6,13116.75,15960.0,18612.75,20961.3
central,2028,construction,offshore wind,7374.9675,924.0,3135.375,6649.0,11106.125,14512.650000000001
central,2028,construction,onshore wind,14069.2289,8037.39,9676.675000000001,12250.45,16664.9,23175.260000000002
central,2028,construction,utility-scale solar,23015.5272,17447.38,19256.075,21765.75,25716.45,30298.800000000003
central,2028,pre-construction,hydropower,2300.699,641.8,1023.75,1678.5,2660.0,4406.4
central,2028,pre-construction,offshore wind,15139.0213,4884.1,6901.5,10063.0,16039.275000000001,27013.950000000004
central,2028,pre-construction,onshore wind,116105.0845,73433.51000000001,87699.675,107638.4,137027.975,172205.91999999998
central,2028,pre-construction,utility-scale solar,466431.2608,416279.12999999995,449062.30000000005,474020.1,491424.95,504128.17000000004
central,2029,announced,hydropower,1040.34,50.0,168.75,453.5,958.0,2760.4000000000005
central,2029,announced,offshore wind,4659.407,319.70000000000005,840.0,2250.0,4410.0,7496.720000000001
central,2029,announced,onshore wind,26135.611699999998,12271.529999999999,16054.325,22139.65,31312.2,45005.42
central,2029,announced,utility-scale solar,120678.8392,72893.11,90837.85,115873.30000000002,145315.85,173831.9
central,2029,construction,hydropower,13561.093,8561.8,10877.25,13353.0,16291.0,18805.600000000002
central,2029,construction,offshore wind,317.8425,0.0,0.0,0.0,30.0,1391.9
central,2029,construction,onshore wind,3032.0486,1550.0,2113.125,2674.05,3243.8,3707.8
central,2029,construction,utility-scale solar,3187.5467999999996,2448.0,2790.25,2948.0,3348.0,4131.1
central,2029,pre-construction,hydropower,6439.364,1986.2,3025.25,5055.0,7946.0,12086.0
central,2029,pre-construction,offshore wind,39022.4977,14009.45,18998.0,29567.0,50519.8,78170.52
central,2029,pre-construction,onshore wind,180424.2056,140119.15,160451.1,183205.6,202499.225,215151.96000000002
central,2029,pre-construction,utility-scale solar,208333.2813,117727.21,162683.775,214142.05,256906.725,290850.3
central,2030,announced,hydropower,2437.863,271.6,529.0,1130.5,3024.75,5957.300000000001
central,2030,announced,offshore wind,10770.9632,946.3000000000001,2300.0,5239.0,10972.5,25403.80000000001
central,2030,announced,onshore wind,46642.5157,24007.82,31735.15,42132.3,56937.675,75790.95000000001
central,2030,announced,utility-scale solar,142788.9337,115657.76,127605.25,141214.95,157311.275,172479.87
central,2030,construction,hydropower,9663.713,5460.8,7110.0,9382.5,11961.25,14328.4
central,2030,construction,offshore wind,137.481,0.0,0.0,200.0,200.0,200.0
central,2030,construction,onshore wind,1709.6742,600.0,1303.2,1648.5,2203.2,2802.8
central,2030,construction,utility-scale solar,5898.23,5074.5,5583.5,5970.0,6254.0,6554.0
central,2030,pre-construction,hydropower,12563.023,4862.200000000001,7155.0,10685.5,16375.0,22838.200000000004
central,2030,pre-construction,offshore wind,63023.40779999999,30155.77,41852.425,61210.1,81680.825,100111.72
central,2030,pre-construction,onshore wind,150293.1604,125913.47,139944.05,153751.65,164367.075,172787.88
central,2030,pre-construction,utility-scale solar,34761.95020000001,10919.289999999999,17573.525,27838.45,45706.125,68542.17
high,2026,announced,hydropower,22.94,0.0,0.0,0.0,0.0,0.0
high,2026,announced,offshore wind,262.615,0.0,0.0,0.0,250.0,900.0
high,2026,announced,onshore wind,937.4536999999999,262.43,411.9,643.55,972.6,1458.95
high,2026,announced,utility-scale solar,7829.8758,5186.48,6131.2,7530.35,9314.3,10793.43
high,2026,construction,hydropower,5774.876,1947.7,3530.75,5401.0,7487.25,9960.2
high,2026,construction,offshore wind,25422.1755,17149.4,20557.75,24953.25,30106.125,34704.9
high,2026,construction,onshore wind,207334.27909999999,186448.84,197316.52500000002,209159.25,219053.125,226309.08000000002
high,2026,construction,utility-scale solar,368119.2684,348631.46,359796.675,370045.45,378757.69999999995,384836.1
high,2026,pre-construction,hydropower,116.163,0.0,0.0,0.0,126.25,344.0
high,2026,pre-construction,offshore wind,899.504,28.0,332.0,711.0,1292.0,1849.0000000000002
high,2026,pre-construction,onshore wind,16820.5952,9510.24,12397.024999999998,15767.65,20231.35,24965.489999999998
high,2026,pre-construction,utility-scale solar,85759.38759999999,54556.24,64417.25,78475.29999999999,98967.95000000001,123518.95
high,2027,announced,hydropower,287.935,0.0,0.0,88.0,340.0,720.0
high,2027,announced,offshore wind,2089.923,250.0,549.25,1750.0,2600.0,4047.0
high,2027,announced,onshore wind,11843.6111,5397.4800000000005,7249.775000000001,10586.85,13986.849999999999,18749.440000000002
high,2027,announced,utility-scale solar,53751.613,32803.82,38347.225000000006,48167.05,62622.9,80986.20000000001
high,2027,construction,hydropower,21676.292,15971.300000000001,18605.25,21636.0,24885.0,27387.6
high,2027,construction,offshore wind,19442.2175,10820.05,15449.125,20088.25,23986.25,26895.300000000003
high,2027,construction,onshore wind,41314.713899999995,23233.98,30399.799999999996,39661.649999999994,50406.625,61461.15
high,2027,construction,utility-scale solar,70107.9483,54119.17,59541.575,67934.6,77782.17499999999,88778.21
high,2027,pre-construction,hydropower,1828.668,430.8,751.5,1246.5,2049.0,3651.5
high,2027,pre-construction,offshore wind,14258.4326,3420.4,5150.25,8589.0,15118.0,27330.550000000003
high,2027,pre-construction,onshore wind,159570.1276,100598.59,121773.82500000001,151558.0,186302.7,226490.6
high,2027,pre-construction,utility-scale solar,666087.91,573915.23,625833.475,676908.75,718672.5249999999,742126.03
high,2028,announced,hydropower,2119.812,144.0,379.5,884.0,2532.5,5330.800000000002
high,2028,announced,offshore wind,9825.8508,790.3000000000001,2147.0,4267.5,8837.25,20552.400000000005
high,2028,announced,onshore wind,56758.8503,29793.050000000003,37897.55,51759.85,69215.075,91440.49
high,2028,announced,utility-scale solar,224859.7689,160979.94999999998,190323.90000000002,225331.7,258873.7,290874.26
high,2028,construction,hydropower,16705.707,11777.6,14336.75,16838.5,19223.25,21509.100000000002
high,2028,construction,offshore wind,637.04,0.0,0.0,0.0,816.0,2640.0
high,2028,construction,onshore wind,7089.5248,6728.3,6739.275,7028.3,7399.875,7903.09
high,2028,construction,utility-scale solar,16397.1786,16335.5,16435.5,16435.5,16435.5,16435.5
high,2028,pre-construction,hydropower,11012.512,3375.0,5150.25,8286.5,13939.25,21173.5
