scenario,year,model_technology,date_known,mean_mw,p10_mw,p25_mw,p50_mw,p75_mw,p90_mw
central,2026,hydropower,known,2367.514,310.9,811.75,2038.0,3410.0,4936.4
central,2026,hydropower,unknown,10.069,0.0,0.0,0.0,0.0,0.0
central,2026,offshore wind,known,7960.334,5311.7,6519.0,7970.0,9448.75,10574.6
central,2026,offshore wind,unknown,5007.175,1312.5,2519.5,4013.5,6460.25,9511.4
central,2026,onshore wind,known,56519.784799999994,49317.07,52763.15,56423.799999999996,60066.399999999994,63800.240000000005
central,2026,onshore wind,unknown,73612.8048,50860.62,59308.825000000004,70992.3,84722.925,99689.06000000001
central,2026,utility-scale solar,known,114416.2738,104260.84999999999,108174.4,113748.4,119841.20000000001,125723.63
central,2026,utility-scale solar,unknown,165925.936,131739.47,146194.5,164036.25,183025.45,201190.94
central,2027,hydropower,known,12478.85,8172.7,10108.0,12486.0,14604.75,16563.2
central,2027,hydropower,unknown,1348.968,0.0,91.0,616.5,2000.0,3672.1000000000004
central,2027,offshore wind,known,10714.426,7265.7,9067.0,10672.0,12388.75,14105.3
central,2027,offshore wind,unknown,18240.2489,13031.050000000001,15732.125,18344.0,20527.0,22468.55
central,2027,onshore wind,known,56893.2024,49703.45,53331.4,56844.9,60595.02500000001,63930.439999999995
central,2027,onshore wind,unknown,105544.16,93910.41,99914.175,106070.9,111683.325,116802.67000000001
central,2027,utility-scale solar,known,139207.79390000002,130492.75,135059.625,139232.2,143752.40000000002,147509.65
central,2027,utility-scale solar,unknown,282546.426,227554.73,245785.475,271144.65,307196.14999999997,353299.03
central,2028,hydropower,known,12947.116,8910.3,10715.25,12771.0,14961.75,17199.3
central,2028,hydropower,unknown,5585.237,2069.4,3278.5,4939.0,7144.25,9456.700000000003
central,2028,offshore wind,known,11521.5495,6974.9,8858.75,11248.0,13865.25,16297.2
central,2028,offshore wind,unknown,12896.767699999999,5193.6,6833.75,9448.5,12720.5,17395.550000000003
central,2028,onshore wind,known,50235.4491,42960.15,46341.025,49905.0,53704.575,57884.14
central,2028,onshore wind,unknown,90257.6919,51740.700000000004,63492.0,80130.55,106066.675,142817.86000000002
central,2028,utility-scale solar,known,113725.9415,103937.74,108133.49999999999,113533.65,119033.675,124099.84000000001
central,2028,utility-scale solar,unknown,423312.0431,367712.29000000004,400470.95,430403.55000000005,451947.55,467944.7
central,2029,hydropower,known,12935.167,8176.8,10333.25,13058.5,15381.0,17589.7
central,2029,hydropower,unknown,8105.63,3852.8,5153.0,7130.0,9346.75,12710.000000000005
central,2029,offshore wind,known,16766.252,10349.7,13202.0,16256.0,19776.625,24003.2
central,2029,offshore wind,unknown,27233.495199999998,4100.97,7279.0,15583.0,35613.075,64646.43
central,2029,onshore wind,known,47058.374200000006,37309.68,41222.875,46735.3,52360.625,57490.020000000004
central,2029,onshore wind,unknown,162533.49169999998,113901.19,136806.575,161568.55,189790.525,210710.44
central,2029,utility-scale solar,known,69016.92240000001,55881.94,62551.1,69504.95000000001,75746.525,81209.91
central,2029,utility-scale solar,unknown,263182.7449,218812.5,239199.825,264452.7,286366.225,304417.24
central,2030,hydropower,known,13781.275,9277.9,11371.25,13578.5,16063.5,18487.3
central,2030,hydropower,unknown,10883.324,4132.1,5780.75,8345.0,13223.25,20239.9
central,2030,offshore wind,known,23972.3775,15652.75,18956.75,23663.0,28385.0,32891.8
central,2030,offshore wind,unknown,49959.4745,13659.9,24368.125,43346.4,69425.82500000001,100133.94
central,2030,onshore wind,known,39519.499299999996,29028.24,33301.575,39253.25,44992.675,50270.32
central,2030,onshore wind,unknown,159125.851,138864.67,147219.025,158229.40000000002,168882.47500000003,181255.32
central,2030,utility-scale solar,known,35927.3911,25654.6,30561.75,35590.4,40736.3,46297.270000000004
central,2030,utility-scale solar,unknown,147521.72280000002,120853.32,133413.825,145959.85,161140.65,176553.43
high,2026,hydropower,known,5592.581,2004.3,3592.75,5329.0,7369.0,9340.3
high,2026,hydropower,unknown,321.398,0.0,0.0,0.0,186.25,1009.2
high,2026,offshore wind,known,11184.338,9181.7,10296.25,11210.0,12142.0,13106.6
high,2026,offshore wind,unknown,15399.9565,7860.1,11013.375,14653.5,19429.75,23999.0
high,2026,onshore wind,known,73517.1389,66929.57,69686.425,73027.65,77176.57500000001,80443.81
high,2026,onshore wind,unknown,151575.1891,130000.15,140662.35,152760.15000000002,163013.925,172279.97
high,2026,utility-scale solar,known,149902.04030000002,141268.89,145351.05,149561.7,154304.45,158836.36000000002
high,2026,utility-scale solar,unknown,311806.4915,267830.16,286096.02499999997,306892.25,332603.275,358746.31
high,2027,hydropower,known,16228.261,12229.7,14207.25,16173.5,18271.5,20045.6
high,2027,hydropower,unknown,7564.634,2706.8,4641.5,6922.5,9493.25,13034.6
high,2027,offshore wind,known,13184.987,9597.6,11135.5,12951.5,15058.5,17141.0
